O43681	9606.ENSP00000466379
Q9Y691	9606.ENSP00000483415
Q8WVQ1	9606.ENSP00000307674
Q9NNW7	9606.ENSP00000383365
O15374	9606.ENSP00000358794
Q14832	9606.ENSP00000355316
Q09428	9606.ENSP00000303960
O75936	9606.ENSP00000263182
Q01118	9606.ENSP00000386796
P50607	9606.ENSP00000305426
P50225	9606.ENSP00000378972
P14621	9606.ENSP00000378161
P21283	9606.ENSP00000379203
P51553	9606.ENSP00000217901
P17568	9606.ENSP00000215565
Q9UN19	9606.ENSP00000423602
P09417	9606.ENSP00000281243
Q99470	9606.ENSP00000247020
Q16348	9606.ENSP00000417085
Q96Q40	9606.ENSP00000406472
Q9UKQ2	9606.ENSP00000265769
O15403	9606.ENSP00000319991
P80192	9606.ENSP00000451263
P29803	9606.ENSP00000295266
O43246	9606.ENSP00000372390
P31151	9606.ENSP00000357712
P09488	9606.ENSP00000311469
P22413	9606.ENSP00000354238
P29034	9606.ENSP00000357697
Q9H1K4	9606.ENSP00000329033
P53597	9606.ENSP00000377446
Q9Y296	9606.ENSP00000436005
Q9Y619	9606.ENSP00000342267
Q96S86	9606.ENSP00000352606
Q9H936	9606.ENSP00000322020
P00734	9606.ENSP00000308541
P30793	9606.ENSP00000419045
P48048	9606.ENSP00000376432
P53582	9606.ENSP00000296411
O43193	9606.ENSP00000218721
P08686	9606.ENSP00000408860
P24046	9606.ENSP00000412673
P15538	9606.ENSP00000292427
P31749	9606.ENSP00000451828
P62837	9606.ENSP00000381717
P30084	9606.ENSP00000357535
P23297	9606.ENSP00000292169
Q7L5Y9	9606.ENSP00000302830
Q9HAW7	9606.ENSP00000362525
Q8IVS2	9606.ENSP00000290429
P04818	9606.ENSP00000315644
P61160	9606.ENSP00000367220
O43739	9606.ENSP00000297044
P14324	9606.ENSP00000349078
P35557	9606.ENSP00000223366
O60568	9606.ENSP00000223127
P35368	9606.ENSP00000306662
Q16878	9606.ENSP00000250535
P19367	9606.ENSP00000402103
O60658	9606.ENSP00000311453
Q12791	9606.ENSP00000286628
P42261	9606.ENSP00000428994
P08842	9606.ENSP00000217961
P08684	9606.ENSP00000337915
P30531	9606.ENSP00000287766
P49419	9606.ENSP00000387123
O15217	9606.ENSP00000360002
Q05397	9606.ENSP00000341189
P15260	9606.ENSP00000356713
P02795	9606.ENSP00000245185
P14868	9606.ENSP00000264161
Q9ULX7	9606.ENSP00000358107
Q9NPJ3	9606.ENSP00000230048
Q9BQB6	9606.ENSP00000378426
P00751	9606.ENSP00000416561
P41146	9606.ENSP00000336764
Q9NY46	9606.ENSP00000283254
Q8IUR0	9606.ENSP00000470262
P09693	9606.ENSP00000431445
Q9NYA1	9606.ENSP00000313681
P48506	9606.ENSP00000229416
P13688	9606.ENSP00000161559
P62330	9606.ENSP00000298316
Q9Y5K3	9606.ENSP00000368439
P55263	9606.ENSP00000286621
P08254	9606.ENSP00000299855
P10276	9606.ENSP00000254066
P17900	9606.ENSP00000349687
P11216	9606.ENSP00000216962
Q08493	9606.ENSP00000347689
P35790	9606.ENSP00000265689
P40429	9606.ENSP00000375730
P42685	9606.ENSP00000476145
Q15120	9606.ENSP00000387536
P43235	9606.ENSP00000271651
P47895	9606.ENSP00000332256
P57059	9606.ENSP00000270162
Q9NQS7	9606.ENSP00000378295
P31751	9606.ENSP00000375892
P53609	9606.ENSP00000404676
O60942	9606.ENSP00000358497
P08865	9606.ENSP00000346067
P08319	9606.ENSP00000265512
P48058	9606.ENSP00000282499
P48547	9606.ENSP00000265969
Q9UJM8	9606.ENSP00000368066
O60513	9606.ENSP00000420161
P18507	9606.ENSP00000410732
Q9UIC8	9606.ENSP00000382021
Q96RI1	9606.ENSP00000447149
P26439	9606.ENSP00000445122
P20674	9606.ENSP00000317780
P11474	9606.ENSP00000384851
O96000	9606.ENSP00000268668
P07741	9606.ENSP00000367615
P63208	9606.ENSP00000231487
P30518	9606.ENSP00000351805
Q92793	9606.ENSP00000262367
Q13255	9606.ENSP00000354896
P04035	9606.ENSP00000287936
Q13426	9606.ENSP00000421491
Q9NSA0	9606.ENSP00000301891
Q00653	9606.ENSP00000358983
Q8TET4	9606.ENSP00000326227
Q9H2X9	9606.ENSP00000387694
O00204	9606.ENSP00000201586
Q02224	9606.ENSP00000265148
P28332	9606.ENSP00000378359
P08697	9606.ENSP00000321853
P11245	9606.ENSP00000286479
P52209	9606.ENSP00000270776
P49720	9606.ENSP00000483688
P29275	9606.ENSP00000304501
P48029	9606.ENSP00000253122
P55157	9606.ENSP00000427679
Q9H228	9606.ENSP00000328472
P33981	9606.ENSP00000358813
Q9UM73	9606.ENSP00000373700
Q15185	9606.ENSP00000482075
Q9H3N8	9606.ENSP00000256906
P11511	9606.ENSP00000379683
Q16671	9606.ENSP00000257863
Q9Y617	9606.ENSP00000365773
P05556	9606.ENSP00000379350
P53985	9606.ENSP00000441065
Q8IWT1	9606.ENSP00000322460
O14561	9606.ENSP00000458770
O75469	9606.ENSP00000336528
Q8IVH4	9606.ENSP00000281317
P20810	9606.ENSP00000379157
P29508	9606.ENSP00000283752
P21266	9606.ENSP00000256594
P22352	9606.ENSP00000373477
P49190	9606.ENSP00000272847
P11586	9606.ENSP00000216605
O14556	9606.ENSP00000222286
O00217	9606.ENSP00000315774
P18848	9606.ENSP00000336790
P50579	9606.ENSP00000325312
Q16696	9606.ENSP00000332679
P30520	9606.ENSP00000355493
Q09013	9606.ENSP00000345997
P31949	9606.ENSP00000271638
Q13315	9606.ENSP00000278616
Q13003	9606.ENSP00000362183
P14210	9606.ENSP00000222390
Q9BZW2	9606.ENSP00000194130
Q6PHW0	9606.ENSP00000229447
O75911	9606.ENSP00000480439
P52569	9606.ENSP00000004531
P49591	9606.ENSP00000234677
Q07864	9606.ENSP00000322570
P51512	9606.ENSP00000286614
P02778	9606.ENSP00000305651
Q16854	9606.ENSP00000264093
P11177	9606.ENSP00000307241
Q9Y4W6	9606.ENSP00000269143
P18405	9606.ENSP00000274192
O43272	9606.ENSP00000481127
Q96RJ0	9606.ENSP00000275216
P49761	9606.ENSP00000378505
P37023	9606.ENSP00000373574
Q04609	9606.ENSP00000256999
P29475	9606.ENSP00000477999
P51648	9606.ENSP00000345774
Q9NR96	9606.ENSP00000417517
P30837	9606.ENSP00000366927
Q8N8N7	9606.ENSP00000452280
Q9NVS9	9606.ENSP00000225573
P21802	9606.ENSP00000410294
Q9Y5N1	9606.ENSP00000342560
Q15738	9606.ENSP00000359297
Q14721	9606.ENSP00000360806
O14936	9606.ENSP00000367408
P07202	9606.ENSP00000318820
P42345	9606.ENSP00000354558
Q01064	9606.ENSP00000243052
P17752	9606.ENSP00000250018
O00187	9606.ENSP00000383690
P21399	9606.ENSP00000309477
P68133	9606.ENSP00000355645
O00483	9606.ENSP00000339720
Q16613	9606.ENSP00000250615
P30273	9606.ENSP00000289902
Q13509	9606.ENSP00000320295
Q9HAN9	9606.ENSP00000366410
P16389	9606.ENSP00000433109
Q16836	9606.ENSP00000474560
Q02809	9606.ENSP00000196061
P15153	9606.ENSP00000249071
P18825	9606.ENSP00000386069
P30043	9606.ENSP00000263368
P00748	9606.ENSP00000253496
P06858	9606.ENSP00000309757
P55210	9606.ENSP00000358327
P02675	9606.ENSP00000306099
Q86Y39	9606.ENSP00000389160
P04792	9606.ENSP00000248553
P22309	9606.ENSP00000304845
P19440	9606.ENSP00000383232
P78368	9606.ENSP00000255641
Q99884	9606.ENSP00000230671
Q8WY07	9606.ENSP00000363417
P51149	9606.ENSP00000265062
Q92831	9606.ENSP00000263754
P19438	9606.ENSP00000162749
Q9NZV6	9606.ENSP00000355084
Q6IB77	9606.ENSP00000484592
P02818	9606.ENSP00000357255
Q00796	9606.ENSP00000267814
P43116	9606.ENSP00000245457
Q08289	9606.ENSP00000320025
Q9NPA2	9606.ENSP00000337816
P28065	9606.ENSP00000363993
Q9UJ68	9606.ENSP00000313921
P23946	9606.ENSP00000250378
P43003	9606.ENSP00000265113
P36896	9606.ENSP00000442656
Q9H2S1	9606.ENSP00000427120
Q14654	9606.ENSP00000345708
P03952	9606.ENSP00000264690
Q16772	9606.ENSP00000211122
P43353	9606.ENSP00000473990
P48357	9606.ENSP00000330393
Q12756	9606.ENSP00000438388
P15170	9606.ENSP00000398131
Q02763	9606.ENSP00000369375
P42126	9606.ENSP00000301729
P46721	9606.ENSP00000305974
P00441	9606.ENSP00000270142
P33316	9606.ENSP00000370376
P56817	9606.ENSP00000318585
P84098	9606.ENSP00000225430
O75015	9606.ENSP00000433642
P00167	9606.ENSP00000341625
Q9H2M3	9606.ENSP00000255192
P46459	9606.ENSP00000381293
O75116	9606.ENSP00000317985
P49448	9606.ENSP00000327589
Q96GD3	9606.ENSP00000318094
P62745	9606.ENSP00000272233
P24394	9606.ENSP00000379111
P29460	9606.ENSP00000231228
Q9H4G4	9606.ENSP00000367196
P01008	9606.ENSP00000356671
P02746	9606.ENSP00000313967
Q9NTG7	9606.ENSP00000372191
Q06432	9606.ENSP00000226021
Q96KG9	9606.ENSP00000270176
Q6UX15	9606.ENSP00000364765
P14854	9606.ENSP00000246554
P04278	9606.ENSP00000369816
P51687	9606.ENSP00000377668
Q460N3	9606.ENSP00000417214
P14679	9606.ENSP00000263321
P17658	9606.ENSP00000280684
P23919	9606.ENSP00000304802
Q8N543	9606.ENSP00000457258
P34130	9606.ENSP00000469455
P09958	9606.ENSP00000483552
P78352	9606.ENSP00000382428
Q15842	9606.ENSP00000240662
Q969V6	9606.ENSP00000347847
Q8N1Q1	9606.ENSP00000318912
Q9NPH2	9606.ENSP00000337746
P11712	9606.ENSP00000260682
P03956	9606.ENSP00000322788
P05154	9606.ENSP00000333203
P20711	9606.ENSP00000403644
P00367	9606.ENSP00000277865
Q07837	9606.ENSP00000260649
P22392	9606.ENSP00000376886
O15528	9606.ENSP00000228606
P27707	9606.ENSP00000286648
P26447	9606.ENSP00000357705
Q9UKV0	9606.ENSP00000408617
P30153	9606.ENSP00000324804
P41180	9606.ENSP00000420194
Q53H96	9606.ENSP00000220966
P29074	9606.ENSP00000263708
P37288	9606.ENSP00000299178
Q14541	9606.ENSP00000379701
P48147	9606.ENSP00000358106
P07948	9606.ENSP00000428924
P32418	9606.ENSP00000384763
Q08881	9606.ENSP00000398655
O14964	9606.ENSP00000331201
Q7Z2W7	9606.ENSP00000323926
P78348	9606.ENSP00000228468
Q9UGM1	9606.ENSP00000312663
Q9Y2Z4	9606.ENSP00000320658
O60674	9606.ENSP00000371067
Q9BY49	9606.ENSP00000265322
O15145	9606.ENSP00000228825
P16860	9606.ENSP00000365651
Q9UDX3	9606.ENSP00000255858
O15427	9606.ENSP00000463978
O95263	9606.ENSP00000264917
P36969	9606.ENSP00000346103
O00305	9606.ENSP00000438949
P20309	9606.ENSP00000255380
Q15661	9606.ENSP00000343577
P10145	9606.ENSP00000306512
P25311	9606.ENSP00000292401
P08173	9606.ENSP00000409378
Q16222	9606.ENSP00000356903
Q99624	9606.ENSP00000481301
O60909	9606.ENSP00000310696
Q96PR1	9606.ENSP00000449253
P42768	9606.ENSP00000365891
P49888	9606.ENSP00000226444
P09917	9606.ENSP00000363512
P35372	9606.ENSP00000394624
P11766	9606.ENSP00000296412
P02745	9606.ENSP00000363773
P21728	9606.ENSP00000377353
O60939	9606.ENSP00000278947
P01920	9606.ENSP00000364080
P36544	9606.ENSP00000407546
O60760	9606.ENSP00000295256
P05089	9606.ENSP00000349446
Q06278	9606.ENSP00000363832
P05166	9606.ENSP00000419027
Q08345	9606.ENSP00000427552
P08263	9606.ENSP00000335620
Q86UW8	9606.ENSP00000291481
O75676	9606.ENSP00000333896
O00519	9606.ENSP00000243167
P24310	9606.ENSP00000292907
P28223	9606.ENSP00000437737
Q9UJT1	9606.ENSP00000320797
P55017	9606.ENSP00000402152
Q9UGI6	9606.ENSP00000481848
Q9NWM0	9606.ENSP00000478305
Q9BTZ2	9606.ENSP00000326219
P00568	9606.ENSP00000362271
Q16832	9606.ENSP00000356899
O15530	9606.ENSP00000344220
P41743	9606.ENSP00000295797
P06213	9606.ENSP00000303830
Q00169	9606.ENSP00000316809
P42336	9606.ENSP00000263967
Q14330	9606.ENSP00000343428
Q92806	9606.ENSP00000357067
P05452	9606.ENSP00000296130
O14756	9606.ENSP00000451406
P12271	9606.ENSP00000268125
Q9UI32	9606.ENSP00000310447
Q9UGJ0	9606.ENSP00000287878
P11488	9606.ENSP00000232461
Q7Z2H8	9606.ENSP00000243389
Q9BV57	9606.ENSP00000333666
P35503	9606.ENSP00000418532
Q9UHI7	9606.ENSP00000302851
P05177	9606.ENSP00000342007
Q9BYC2	9606.ENSP00000361914
P07204	9606.ENSP00000366307
Q05329	9606.ENSP00000365437
Q9UNP4	9606.ENSP00000366549
P04745	9606.ENSP00000359100
P26358	9606.ENSP00000352516
P32927	9606.ENSP00000384053
P14770	9606.ENSP00000303942
P17931	9606.ENSP00000254301
P15086	9606.ENSP00000417222
Q16566	9606.ENSP00000282356
P04637	9606.ENSP00000269305
P16499	9606.ENSP00000255266
P49619	9606.ENSP00000265022
P23526	9606.ENSP00000217426
Q06203	9606.ENSP00000264220
P15391	9606.ENSP00000437940
P50391	9606.ENSP00000363431
Q13224	9606.ENSP00000477455
Q8IUZ5	9606.ENSP00000310978
P49788	9606.ENSP00000237696
Q9P0Z9	9606.ENSP00000317721
O15143	9606.ENSP00000389631
P15328	9606.ENSP00000377284
P07327	9606.ENSP00000209668
O43570	9606.ENSP00000178638
Q96I99	9606.ENSP00000419325
P15559	9606.ENSP00000319788
Q8IVL6	9606.ENSP00000478600
Q03154	9606.ENSP00000384296
P13866	9606.ENSP00000266088
P29371	9606.ENSP00000303325
Q8TED1	9606.ENSP00000423822
Q86WA6	9606.ENSP00000369739
Q9Y6K9	9606.ENSP00000483825
P13945	9606.ENSP00000343782
Q13621	9606.ENSP00000379822
P21796	9606.ENSP00000265333
Q96GD4	9606.ENSP00000313950
P51692	9606.ENSP00000293328
P51589	9606.ENSP00000360247
Q32P28	9606.ENSP00000236040
Q5JTZ9	9606.ENSP00000244571
P09086	9606.ENSP00000431603
Q9BVM4	9606.ENSP00000365426
P28566	9606.ENSP00000307766
P08514	9606.ENSP00000262407
Q96HD9	9606.ENSP00000255082
Q14994	9606.ENSP00000356959
P07225	9606.ENSP00000377783
P10114	9606.ENSP00000245304
P22303	9606.ENSP00000303211
P07307	9606.ENSP00000347140
P15289	9606.ENSP00000216124
Q7Z2Z2	9606.ENSP00000268206
Q14416	9606.ENSP00000378492
Q9HAB3	9606.ENSP00000436768
P14649	9606.ENSP00000450385
P01130	9606.ENSP00000454071
P16473	9606.ENSP00000441235
Q8IWU9	9606.ENSP00000329093
P56282	9606.ENSP00000216367
Q6NVY1	9606.ENSP00000352706
Q9BY32	9606.ENSP00000369456
O75762	9606.ENSP00000262209
P30988	9606.ENSP00000352561
Q9UNQ0	9606.ENSP00000237612
Q06124	9606.ENSP00000340944
P04746	9606.ENSP00000481450
P51843	9606.ENSP00000368253
Q9H2P9	9606.ENSP00000359127
Q9P2W7	9606.ENSP00000433847
P12236	9606.ENSP00000370808
P51659	9606.ENSP00000420914
P05981	9606.ENSP00000262626
P05164	9606.ENSP00000225275
P29323	9606.ENSP00000363763
P60900	9606.ENSP00000261479
P05546	9606.ENSP00000215727
Q96C86	9606.ENSP00000263579
Q9UKL6	9606.ENSP00000268896
Q9Y468	9606.ENSP00000398516
P11226	9606.ENSP00000363079
P29474	9606.ENSP00000297494
O00244	9606.ENSP00000430598
Q15788	9606.ENSP00000385216
Q9UDW1	9606.ENSP00000332887
P46439	9606.ENSP00000256593
P16219	9606.ENSP00000242592
Q13093	9606.ENSP00000274793
P31327	9606.ENSP00000402608
Q9UHW9	9606.ENSP00000346112
P40394	9606.ENSP00000420269
P08588	9606.ENSP00000358301
Q8WX39	9606.ENSP00000277526
Q9UPY5	9606.ENSP00000280612
Q96SL4	9606.ENSP00000354677
Q16698	9606.ENSP00000220764
P20273	9606.ENSP00000085219
Q9H239	9606.ENSP00000473853
Q5JVS0	9606.ENSP00000364398
P01189	9606.ENSP00000384092
P11473	9606.ENSP00000447173
Q15111	9606.ENSP00000402861
P04350	9606.ENSP00000264071
Q02252	9606.ENSP00000450436
Q9Y5Y4	9606.ENSP00000332812
Q14432	9606.ENSP00000351957
P07098	9606.ENSP00000377900
P24158	9606.ENSP00000234347
O75173	9606.ENSP00000356975
O95139	9606.ENSP00000369176
Q9NXG6	9606.ENSP00000341422
Q96GD0	9606.ENSP00000215904
Q16718	9606.ENSP00000417142
P01583	9606.ENSP00000263339
P54855	9606.ENSP00000341045
O75828	9606.ENSP00000290354
P48065	9606.ENSP00000399136
Q969G6	9606.ENSP00000365926
Q9H4B7	9606.ENSP00000217133
Q9BVG9	9606.ENSP00000308258
P49721	9606.ENSP00000362334
Q96NR8	9606.ENSP00000449079
O75330	9606.ENSP00000377492
P27361	9606.ENSP00000263025
Q9P2J5	9606.ENSP00000377954
P05165	9606.ENSP00000365462
P12277	9606.ENSP00000299198
P13611	9606.ENSP00000265077
P25101	9606.ENSP00000315011
Q7L3T8	9606.ENSP00000360327
P28329	9606.ENSP00000337103
Q9NPD5	9606.ENSP00000261196
P55809	9606.ENSP00000196371
O15269	9606.ENSP00000262554
Q00534	9606.ENSP00000265734
P21926	9606.ENSP00000371958
P48637	9606.ENSP00000216951
P14867	9606.ENSP00000393097
P54646	9606.ENSP00000360290
P08887	9606.ENSP00000357470
O94903	9606.ENSP00000333551
P35408	9606.ENSP00000302846
Q92731	9606.ENSP00000343925
P35241	9606.ENSP00000384136
Q9UGN5	9606.ENSP00000250416
P30542	9606.ENSP00000356205
P24752	9606.ENSP00000265838
P18846	9606.ENSP00000262053
Q9NR82	9606.ENSP00000345055
O75311	9606.ENSP00000274093
P07602	9606.ENSP00000378394
P61278	9606.ENSP00000287641
Q86SZ2	9606.ENSP00000330289
P54710	9606.ENSP00000292079
P01178	9606.ENSP00000217386
Q9BXJ7	9606.ENSP00000299155
Q9UBX1	9606.ENSP00000310832
Q6NS38	9606.ENSP00000398181
Q14833	9606.ENSP00000440556
P11362	9606.ENSP00000393312
Q14376	9606.ENSP00000483375
Q16762	9606.ENSP00000385828
P32745	9606.ENSP00000480971
O43614	9606.ENSP00000477548
P12259	9606.ENSP00000356771
P53350	9606.ENSP00000300093
P07858	9606.ENSP00000345672
P29274	9606.ENSP00000480012
Q02928	9606.ENSP00000311095
O75438	9606.ENSP00000330787
O43776	9606.ENSP00000256854
Q9NUB1	9606.ENSP00000316924
P25788	9606.ENSP00000216455
P09874	9606.ENSP00000355759
P05186	9606.ENSP00000363973
P12821	9606.ENSP00000290866
P00797	9606.ENSP00000272190
Q99720	9606.ENSP00000277010
Q14831	9606.ENSP00000350348
O75380	9606.ENSP00000274137
Q9H6Z9	9606.ENSP00000250457
O94925	9606.ENSP00000317379
P27338	9606.ENSP00000367309
Q9NXE4	9606.ENSP00000386531
P33402	9606.ENSP00000282249
Q969P6	9606.ENSP00000328835
P61587	9606.ENSP00000364886
P68366	9606.ENSP00000248437
P05019	9606.ENSP00000302665
P04424	9606.ENSP00000307188
P59768	9606.ENSP00000334448
P07919	9606.ENSP00000309565
Q86US8	9606.ENSP00000263073
Q9Y5Y9	9606.ENSP00000390600
P51570	9606.ENSP00000465930
Q9UQF2	9606.ENSP00000241014
P01375	9606.ENSP00000398698
O43772	9606.ENSP00000326305
O75489	9606.ENSP00000263774
Q02221	9606.ENSP00000287490
P36542	9606.ENSP00000349142
P20648	9606.ENSP00000262623
Q9Y6F1	9606.ENSP00000381740
Q96LZ3	9606.ENSP00000363939
P54750	9606.ENSP00000410309
Q04759	9606.ENSP00000263125
P16152	9606.ENSP00000290349
P16109	9606.ENSP00000263686
P63098	9606.ENSP00000234310
P34913	9606.ENSP00000430269
Q92847	9606.ENSP00000241256
P52895	9606.ENSP00000370129
P17948	9606.ENSP00000282397
P08559	9606.ENSP00000369134
P06280	9606.ENSP00000218516
P36897	9606.ENSP00000364133
O14965	9606.ENSP00000216911
Q9NZ42	9606.ENSP00000468411
O00222	9606.ENSP00000344173
Q9Y6K0	9606.ENSP00000441980
P78362	9606.ENSP00000377262
Q02880	9606.ENSP00000396704
P35367	9606.ENSP00000380247
P06276	9606.ENSP00000264381
P02671	9606.ENSP00000306361
O43612	9606.ENSP00000293330
P52333	9606.ENSP00000391676
Q13332	9606.ENSP00000349932
P11142	9606.ENSP00000432083
P43005	9606.ENSP00000262352
P56696	9606.ENSP00000262916
Q14524	9606.ENSP00000410257
P24298	9606.ENSP00000378408
O43447	9606.ENSP00000306614
P47871	9606.ENSP00000383558
P21918	9606.ENSP00000306129
O95479	9606.ENSP00000473348
Q15759	9606.ENSP00000333685
P16662	9606.ENSP00000304811
O95342	9606.ENSP00000263817
O15264	9606.ENSP00000211287
P13501	9606.ENSP00000474412
P48167	9606.ENSP00000264428
P15954	9606.ENSP00000425759
P11168	9606.ENSP00000323568
P42263	9606.ENSP00000481554
P41240	9606.ENSP00000220003
Q9UN88	9606.ENSP00000469332
P01009	9606.ENSP00000416066
O95182	9606.ENSP00000301457
P49354	9606.ENSP00000303423
P80404	9606.ENSP00000379845
P20815	9606.ENSP00000222982
Q9UL54	9606.ENSP00000310094
O00459	9606.ENSP00000222254
Q9UBT6	9606.ENSP00000241436
P07359	9606.ENSP00000329380
P15144	9606.ENSP00000300060
P28066	9606.ENSP00000271308
Q9NRF9	9606.ENSP00000363286
P08253	9606.ENSP00000219070
P21731	9606.ENSP00000393333
P06732	9606.ENSP00000221476
O75874	9606.ENSP00000390265
P42081	9606.ENSP00000332049
Q04828	9606.ENSP00000370254
P20839	9606.ENSP00000345096
P08238	9606.ENSP00000360609
O15111	9606.ENSP00000359424
P35914	9606.ENSP00000363614
Q9UK17	9606.ENSP00000319591
Q6L8H2	9606.ENSP00000382592
Q16739	9606.ENSP00000363397
Q96EN8	9606.ENSP00000261326
P52758	9606.ENSP00000254878
P32238	9606.ENSP00000295589
P49366	9606.ENSP00000210060
P62491	9606.ENSP00000261890
Q9UMX2	9606.ENSP00000313922
O94788	9606.ENSP00000249750
P31323	9606.ENSP00000265717
P15336	9606.ENSP00000264110
Q05315	9606.ENSP00000221804
Q86VB7	9606.ENSP00000352071
P39905	9606.ENSP00000409007
P13569	9606.ENSP00000003084
P22001	9606.ENSP00000358784
P23469	9606.ENSP00000254667
P40238	9606.ENSP00000361548
P27169	9606.ENSP00000222381
Q6PEY2	9606.ENSP00000318197
P22894	9606.ENSP00000236826
P00747	9606.ENSP00000308938
P11413	9606.ENSP00000377192
P35869	9606.ENSP00000242057
O60840	9606.ENSP00000365441
P14598	9606.ENSP00000289473
P37173	9606.ENSP00000351905
P05091	9606.ENSP00000261733
P00749	9606.ENSP00000361850
O75891	9606.ENSP00000273450
Q13554	9606.ENSP00000379098
P34741	9606.ENSP00000307046
Q14123	9606.ENSP00000379496
P10275	9606.ENSP00000363822
Q13838	9606.ENSP00000379475
Q99707	9606.ENSP00000355536
Q9Y257	9606.ENSP00000263372
O95167	9606.ENSP00000418438
P49862	9606.ENSP00000375683
Q9NY59	9606.ENSP00000219334
Q9NWZ3	9606.ENSP00000390651
P54886	9606.ENSP00000360268
P00156	9606.ENSP00000354554
P49356	9606.ENSP00000246166
P15692	9606.ENSP00000478570
P28702	9606.ENSP00000363817
O14649	9606.ENSP00000306275
P54289	9606.ENSP00000349320
Q16552	9606.ENSP00000344192
P20783	9606.ENSP00000397297
Q13258	9606.ENSP00000303424
Q15303	9606.ENSP00000342235
O14920	9606.ENSP00000430684
Q96RD7	9606.ENSP00000227638
P35968	9606.ENSP00000263923
P39023	9606.ENSP00000346001
P04156	9606.ENSP00000368752
P20813	9606.ENSP00000324648
P08913	9606.ENSP00000280155
P08246	9606.ENSP00000466090
O95470	9606.ENSP00000362298
P14207	9606.ENSP00000298223
P41439	9606.ENSP00000481114
P32297	9606.ENSP00000315602
P01374	9606.ENSP00000403495
P22102	9606.ENSP00000371253
P25021	9606.ENSP00000366506
O43704	9606.ENSP00000308770
P20292	9606.ENSP00000479870
Q96L21	9606.ENSP00000298283
O60551	9606.ENSP00000367407
P49773	9606.ENSP00000304229
P09210	9606.ENSP00000420168
P43166	9606.ENSP00000345659
O43708	9606.ENSP00000216465
Q9UBN7	9606.ENSP00000334061
O95838	9606.ENSP00000262441
P51168	9606.ENSP00000345751
P06744	9606.ENSP00000405573
Q92820	9606.ENSP00000260118
O75746	9606.ENSP00000388658
P48549	9606.ENSP00000295101
Q9NYK1	9606.ENSP00000370034
O60512	9606.ENSP00000480428
O14786	9606.ENSP00000265371
P49759	9606.ENSP00000394734
Q9UL51	9606.ENSP00000251287
P36952	9606.ENSP00000372221
P14060	9606.ENSP00000358421
Q16795	9606.ENSP00000266544
P11388	9606.ENSP00000411532
Q9UHA3	9606.ENSP00000260443
P11233	9606.ENSP00000005257
P10515	9606.ENSP00000280346
Q9Y2D0	9606.ENSP00000314099
P54284	9606.ENSP00000301050
P08183	9606.ENSP00000478255
Q8IVL5	9606.ENSP00000316881
Q16798	9606.ENSP00000440246
P10620	9606.ENSP00000379512
Q70Z44	9606.ENSP00000371929
O60779	9606.ENSP00000236137
Q03013	9606.ENSP00000358851
O95932	9606.ENSP00000202625
P19235	9606.ENSP00000222139
P27695	9606.ENSP00000216714
P05305	9606.ENSP00000368683
O76054	9606.ENSP00000478755
