SideEffect,Disease,Pvalue
anaphylaxis,Urinary Tract Infections,3.52E-11
neutropenia,Soft Tissue Infections,3.68E-11
eosinophilia,Soft Tissue Infections,4.28E-11
nephropathy,Soft Tissue Infections,5.59E-11
psychosis,Depressive Disorder,5.74E-11
constitutional symptoms,Lung Neoplasms,5.79E-11
AV block,Myocardial Infarction,5.82E-11
eosinophilia,Klebsiella Infections,6.34E-11
nephrotic syndrome,Osteoarthritis,6.71E-11
vaginitis,"Pneumonia, Bacterial",7.76E-11
eosinophilia,Escherichia coli Infections,9.8E-11
skin atrophy,Facial Dermatoses,1.11E-10
skin atrophy,Foot Dermatoses,1.11E-10
skin atrophy,Hand Dermatoses,1.11E-10
skin atrophy,Leg Dermatoses,1.11E-10
skin atrophy,Scalp Dermatoses,1.11E-10
colitis,Klebsiella Infections,1.23E-10
anaphylaxis,Klebsiella Infections,1.32E-10
adenitis,Depressive Disorder,1.48E-10
eosinophilia,Proteus Infections,1.54E-10
moniliasis,Escherichia coli Infections,1.59E-10
constitutional symptoms,Hodgkin Disease,1.66E-10
toxic epidermal necrolysis,Escherichia coli Infections,1.81E-10
nephropathy,Streptococcal Infections,2.26E-10
toxic epidermal necrolysis,Klebsiella Infections,2.45E-10
erythema multiforme,Urinary Tract Infections,2.58E-10
serum sickness,Otitis Media,2.7E-10
miliaria,Inflammation,2.98E-10
choreoathetosis,Bipolar Disorder,3.01E-10
serum sickness,Klebsiella Infections,3.09E-10
pseudomembranous colitis,Bronchitis,3.25E-10
nephropathy,"Pneumonia, Bacterial",3.26E-10
proteinuria,Osteoarthritis,3.42E-10
anaphylaxis,Haemophilus Infections,3.45E-10
eosinophilia,Staphylococcal Infections,3.54E-10
tremor,Depressive Disorder,3.81E-10
striae,Facial Dermatoses,4.13E-10
striae,Foot Dermatoses,4.13E-10
striae,Hand Dermatoses,4.13E-10
striae,Leg Dermatoses,4.13E-10
striae,Scalp Dermatoses,4.13E-10
nasal septum perforation,Asthma,5.31E-10
anaphylaxis,Gonorrhea,5.76E-10
anaphylaxis,Escherichia coli Infections,6.27E-10
hemolytic anemia,Proteus Infections,6.48E-10
gastrointestinal hemorrhage,Osteoarthritis,6.61E-10
bruxism,Depressive Disorder,7.16E-10
mental depression,Angina Pectoris,7.79E-10
mental depression,Myocardial Infarction,7.79E-10
serum sickness,Urinary Tract Infections,7.83E-10
Stevens - Johnson syndrome,Proteus Infections,8.1E-10
thrombocythemia,Escherichia coli Infections,9.35E-10
priapism,Psychotic Disorders,1.11E-09
kidney pain,Obsessive-Compulsive Disorder,1.19E-09
moniliasis,Proteus Infections,1.21E-09
hypopigmentation,Facial Dermatoses,1.21E-09
hypopigmentation,Foot Dermatoses,1.21E-09
hypopigmentation,Hand Dermatoses,1.21E-09
hypopigmentation,Leg Dermatoses,1.21E-09
hypopigmentation,Scalp Dermatoses,1.21E-09
wheezing,"Rhinitis, Allergic, Perennial",1.27E-09
suicide attempt,Bipolar Disorder,1.33E-09
postural hypotension,Heart Failure,1.38E-09
hearing loss,Osteoarthritis,1.53E-09
serum sickness,Soft Tissue Infections,1.58E-09
pemphigus,Heart Failure,1.77E-09
rhabdomyolysis,Hypercholesterolemia,1.79E-09
hemolytic anemia,Klebsiella Infections,1.89E-09
eosinophilia,"Skin Diseases, Bacterial",1.91E-09
nephropathy,Escherichia coli Infections,2.05E-09
striae,Inflammation,2.06E-09
hypertension,Heart Failure,2.07E-09
claudication,Hypertension,2.19E-09
gynecomastia,Psychotic Disorders,2.21E-09
gynecomastia,Schizophrenia,2.21E-09
neutropenia,Proteus Infections,2.27E-09
hemolytic anemia,Soft Tissue Infections,2.28E-09
Stevens - Johnson syndrome,Staphylococcal Infections,2.36E-09
hepatoma,Coronary Artery Disease,2.43E-09
hepatoma,Hyperlipoproteinemias,2.43E-09
hepatoma,Hypertriglyceridemia,2.43E-09
hemolytic anemia,Urinary Tract Infections,2.5E-09
vaginal moniliasis,Klebsiella Infections,2.55E-09
constitutional symptoms,Testicular Neoplasms,2.61E-09
anaphylaxis,Staphylococcal Infections,2.84E-09
anaphylaxis,Streptococcal Infections,2.84E-09
moniliasis,Soft Tissue Infections,2.84E-09
urinary frequency,Depressive Disorder,2.99E-09
nephropathy,"Skin Diseases, Bacterial",3.01E-09
angina pectoris,Diabetic Nephropathies,3.07E-09
angina pectoris,"Ventricular Dysfunction, Left",3.07E-09
neutropenia,Streptococcal Infections,3.09E-09
alopecia,Breast Neoplasms,3.26E-09
eosinophilia,Streptococcal Infections,3.61E-09
torticollis,Schizophrenia,3.65E-09
moniliasis,Streptococcal Infections,3.7E-09
vaginal moniliasis,Haemophilus Infections,4.14E-09
serum sickness,"Skin Diseases, Bacterial",4.14E-09
toxic epidermal necrolysis,Urinary Tract Infections,4.45E-09
gastritis,Osteoarthritis,4.98E-09
memory loss,Angina Pectoris,5.01E-09
memory loss,Myocardial Infarction,5.01E-09
Stevens - Johnson syndrome,Klebsiella Infections,5.14E-09
toxic epidermal necrolysis,Staphylococcal Infections,5.17E-09
constitutional symptoms,Neuroblastoma,5.18E-09
delirium,Depressive Disorder,6.19E-09
hypothyroidism,Obsessive-Compulsive Disorder,6.24E-09
nephropathy,Urinary Tract Infections,6.32E-09
hepatoma,Hypercholesterolemia,6.45E-09
Stevens - Johnson syndrome,Escherichia coli Infections,6.98E-09
colitis,Haemophilus Infections,0.000000007
colitis,Staphylococcal Infections,7.71E-09
hematuria,Osteoarthritis,7.79E-09
serum sickness,Haemophilus Infections,7.86E-09
ophthalmoplegia,Coronary Artery Disease,8.21E-09
ophthalmoplegia,Hyperlipoproteinemias,8.21E-09
ophthalmoplegia,Hypertriglyceridemia,8.21E-09
Aseptic necrosis,Hematologic Diseases,8.21E-09
Aseptic necrosis,Neoplasms,8.21E-09
hemorrhage,Klebsiella Infections,8.33E-09
aplastic anemia,Klebsiella Infections,9.43E-09
neutropenia,Escherichia coli Infections,9.61E-09
thrombocythemia,Soft Tissue Infections,9.63E-09
neutropenia,Klebsiella Infections,9.76E-09
dyskinesia,Obsessive-Compulsive Disorder,1.06E-08
skin atrophy,Inflammation,1.06E-08
hemolytic anemia,Escherichia coli Infections,1.09E-08
bruxism,Obsessive-Compulsive Disorder,1.09E-08
dysarthria,Bipolar Disorder,1.12E-08
hypopigmentation,Inflammation,1.16E-08
renal papillary necrosis,Osteoarthritis,1.29E-08
pigmentary retinopathy,Psychotic Disorders,1.29E-08
toxic epidermal necrolysis,Osteoarthritis,1.31E-08
erythema multiforme,Proteus Infections,1.35E-08
serum sickness,Proteus Infections,1.43E-08
folliculitis,Facial Dermatoses,1.64E-08
folliculitis,Foot Dermatoses,1.64E-08
folliculitis,Hand Dermatoses,1.64E-08
folliculitis,Leg Dermatoses,1.64E-08
folliculitis,Scalp Dermatoses,1.64E-08
ophthalmoplegia,Hypercholesterolemia,1.64E-08
dyskinesia,Depressive Disorder,0.000000017
colitis,Proteus Infections,1.71E-08
vaginal hemorrhage,Obsessive-Compulsive Disorder,1.75E-08
pseudomembranous colitis,Otitis Media,1.88E-08
nystagmus,Bipolar Disorder,1.91E-08
vaginal moniliasis,Escherichia coli Infections,1.96E-08
serotonin syndrome,Obsessive-Compulsive Disorder,1.99E-08
Stevens - Johnson syndrome,Streptococcal Infections,2.14E-08
thrombocythemia,Streptococcal Infections,2.15E-08
nasal septum perforation,"Rhinitis, Allergic, Perennial",2.31E-08
rhabdomyolysis,Coronary Artery Disease,2.39E-08
rhabdomyolysis,Hyperlipoproteinemias,2.39E-08
rhabdomyolysis,Hypertriglyceridemia,2.39E-08
hyperuricemia,Edema,2.53E-08
tinnitus,Osteoarthritis,2.57E-08
moniliasis,Urinary Tract Infections,2.63E-08
hyperacusis,Obsessive-Compulsive Disorder,2.68E-08
keratitis,"Glaucoma, Open-Angle",0.000000027
neutropenia,Staphylococcal Infections,0.000000027
colitis,"Pneumonia, Bacterial",2.74E-08
aseptic meningitis,Osteoarthritis,3.06E-08
proteinuria,"Arthritis, Juvenile Rheumatoid",3.21E-08
abnormal gait,Obsessive-Compulsive Disorder,3.21E-08
thrombocythemia,Urinary Tract Infections,3.22E-08
AV block,Angina Pectoris,3.31E-08
exophthalmos,Obsessive-Compulsive Disorder,3.39E-08
erythema multiforme,Escherichia coli Infections,0.000000034
colitis,Escherichia coli Infections,3.47E-08
dyskinesia,Schizophrenia,0.000000037
serum sickness,Escherichia coli Infections,3.88E-08
interstitial nephritis,"Arthritis, Rheumatoid",3.92E-08
toxic epidermal necrolysis,Soft Tissue Infections,4.04E-08
chronic active hepatitis,Coronary Artery Disease,4.09E-08
chronic active hepatitis,Hyperlipoproteinemias,4.09E-08
chronic active hepatitis,Hypertriglyceridemia,4.09E-08
neutropenia,Urinary Tract Infections,4.19E-08
erythema multiforme,Klebsiella Infections,4.29E-08
vaginal moniliasis,Bacteroides Infections,0.000000043
toxic epidermal necrolysis,Streptococcal Infections,4.31E-08
moniliasis,"Pneumonia, Bacterial",4.35E-08
nephropathy,Staphylococcal Infections,4.35E-08
paralytic ileus,Psychotic Disorders,4.36E-08
erythema multiforme,Soft Tissue Infections,4.54E-08
anaphylaxis,Proteus Infections,4.67E-08
toxic epidermal necrolysis,Haemophilus Infections,4.96E-08
AV block,"Tachycardia, Supraventricular",4.99E-08
agranulocytosis,Klebsiella Infections,5.04E-08
thrombocythemia,Haemophilus Infections,5.09E-08
Sterility,Multiple Myeloma,5.25E-08
nephropathy,"Bone Diseases, Infectious",5.32E-08
eructation,Osteoarthritis,5.33E-08
infection,Breast Neoplasms,0.000000055
amenorrhea,Obsessive-Compulsive Disorder,5.63E-08
pseudomembranous colitis,Salmonella Infections,5.66E-08
goiter,Obsessive-Compulsive Disorder,5.67E-08
renal failure,Osteoarthritis,5.74E-08
serum sickness,Staphylococcal Infections,6.08E-08
serum sickness,Streptococcal Infections,6.08E-08
aplastic anemia,Proteus Infections,6.21E-08
pseudomembranous colitis,Bacteroides Infections,6.54E-08
colitis,Streptococcal Infections,0.000000067
pheochromocytoma,Psychotic Disorders,0.000000076
increased salivation,Bipolar Disorder,8.03E-08
coma,Depressive Disorder,8.08E-08
chronic active hepatitis,Hypercholesterolemia,8.17E-08
thrombocythemia,"Pneumonia, Bacterial",8.25E-08
delirium,Obsessive-Compulsive Disorder,8.35E-08
breast pain,Obsessive-Compulsive Disorder,8.35E-08
stomatitis,Osteoarthritis,8.39E-08
constitutional symptoms,Melanoma,8.54E-08
constitutional symptoms,Multiple Myeloma,8.54E-08
thrombocythemia,Proteus Infections,8.66E-08
moniliasis,Haemophilus Infections,8.83E-08
Diaper rash,Haemophilus Infections,8.86E-08
ureteral obstruction,Ovarian Neoplasms,8.96E-08
nephropathy,Haemophilus Infections,9.17E-08
erythema multiforme,Osteoarthritis,9.29E-08
pulmonary embolism,Breast Neoplasms,0.000000102
eosinophilia,Haemophilus Infections,0.000000106
dysmenorrhea,Bipolar Disorder,0.000000107
ataxia,Bipolar Disorder,0.00000011
syncope,Hypertension,0.000000111
arthritis,Diabetic Nephropathies,0.000000112
arthritis,"Ventricular Dysfunction, Left",0.000000112
exophthalmos,Hematologic Diseases,0.000000116
exophthalmos,Neoplasms,0.000000116
pseudomembranous colitis,Pharyngitis,0.000000117
pseudomembranous colitis,Surgical Wound Infection,0.000000117
weight gain,Depressive Disorder,0.00000012
hemolytic anemia,"Skin Diseases, Bacterial",0.000000122
serotonin syndrome,Depressive Disorder,0.000000124
aseptic meningitis,"Arthritis, Juvenile Rheumatoid",0.000000128
aseptic meningitis,Dysmenorrhea,0.000000128
seizures,Klebsiella Infections,0.000000128
decreased libido,Depressive Disorder,0.000000134
hyperglycemia,Nephrotic Syndrome,0.000000137
agranulocytosis,Osteoarthritis,0.000000138
nephrotic syndrome,"Arthritis, Rheumatoid",0.000000144
torticollis,Psychotic Disorders,0.000000144
erythema multiforme,"Skin Diseases, Bacterial",0.00000015
AV block,Atrial Fibrillation,0.000000151
myopathy,Hypercholesterolemia,0.000000153
peptic ulcer,Inflammation,0.000000154
tachycardia,Pain,0.000000165
alkalosis,Graft vs Host Disease,0.000000168
alkalosis,Hematologic Diseases,0.000000168
alkalosis,Neoplasms,0.000000168
urinary incontinence,Bipolar Disorder,0.000000168
hemorrhage,Proteus Infections,0.000000171
agranulocytosis,Urinary Tract Infections,0.000000172
hematemesis,Osteoarthritis,0.000000175
toxic epidermal necrolysis,"Skin Diseases, Bacterial",0.000000179
pseudomembranous colitis,Respiratory Tract Infections,0.000000185
glycosuria,Nephrotic Syndrome,0.000000187
vasculitis,Edema,0.000000187
ventricular tachycardia,Obsessive-Compulsive Disorder,0.000000193
memory loss,Ventricular Fibrillation,0.000000193
heart block,Myocardial Infarction,0.000000196
infection,Urinary Tract Infections,0.000000198
porphyria cutanea tarda,"Diabetes Mellitus, Type 2",0.000000199
exfoliative dermatitis,Osteoarthritis,0.0000002
Diaper rash,Klebsiella Infections,0.000000205
spasm,Nephrotic Syndrome,0.000000205
anaphylaxis,Soft Tissue Infections,0.000000207
heart block,Pain,0.000000214
purpura,Hypertension,0.000000215
dysmenorrhea,Obsessive-Compulsive Disorder,0.000000216
ureteral obstruction,Breast Neoplasms,0.000000219
lymphedema,Breast Neoplasms,0.00000022
pulmonary fibrosis,Ovarian Neoplasms,0.00000022
infection,Staphylococcal Infections,0.000000228
infection,Streptococcal Infections,0.000000228
pancytopenia,Proteus Infections,0.000000229
latent diabetes,Hematologic Diseases,0.000000235
latent diabetes,Neoplasms,0.000000235
sore throat,Myocardial Infarction,0.000000236
aplastic anemia,Escherichia coli Infections,0.000000238
spasm,Schizophrenia,0.000000239
hypercholesterolemia,Obsessive-Compulsive Disorder,0.000000241
pseudomembranous colitis,Sinusitis,0.000000241
bundle branch block,Obsessive-Compulsive Disorder,0.000000242
galactorrhea,Obsessive-Compulsive Disorder,0.000000242
anaphylactoid purpura,Acne Vulgaris,0.000000244
ureteral obstruction,Multiple Myeloma,0.000000244
aplastic anemia,Haemophilus Infections,0.000000248
flatulence,Osteoarthritis,0.000000252
thrombocythemia,Staphylococcal Infections,0.000000254
rheumatoid arthritis,Obsessive-Compulsive Disorder,0.000000261
mitral insufficiency,Psychotic Disorders,0.000000261
hyponatremia,Diabetic Nephropathies,0.000000268
hyponatremia,"Ventricular Dysfunction, Left",0.000000268
increased salivation,Depressive Disorder,0.000000282
polymyalgia rheumatica,Coronary Artery Disease,0.000000284
polymyalgia rheumatica,Hyperlipoproteinemias,0.000000284
polymyalgia rheumatica,Hypertriglyceridemia,0.000000284
hyperuricemia,Hypertension,0.000000292
hyperpigmentation,Precursor Cell Lymphoblastic Leukemia-Lymphoma,0.000000297
neutropenia,"Skin Diseases, Bacterial",0.000000298
Stevens - Johnson syndrome,Urinary Tract Infections,0.000000301
seizures,Proteus Infections,0.000000307
apnea,Pain,0.00000031
weight gain,Bipolar Disorder,0.000000312
fecal incontinence,Bipolar Disorder,0.000000332
vertigo,Hypertension,0.000000333
abnormal gait,Bipolar Disorder,0.000000337
lightheadedness,"Tachycardia, Ventricular",0.000000338
hepatomegaly,Acquired Immunodeficiency Syndrome,0.000000346
vaginal moniliasis,Staphylococcal Infections,0.00000035
diplopia,"Epilepsies, Partial",0.000000351
pancytopenia,Klebsiella Infections,0.000000351
cirrhosis,Coronary Artery Disease,0.000000361
cirrhosis,Hyperlipoproteinemias,0.000000361
cirrhosis,Hypertriglyceridemia,0.000000361
torticollis,Obsessive-Compulsive Disorder,0.000000361
agranulocytosis,Soft Tissue Infections,0.000000368
hiccup,Obsessive-Compulsive Disorder,0.000000369
rectal hemorrhage,Obsessive-Compulsive Disorder,0.000000369
amenorrhea,Psychotic Disorders,0.000000381
amenorrhea,Schizophrenia,0.000000381
colitis,"Skin Diseases, Bacterial",0.000000389
sinus arrest,"Tachycardia, Supraventricular",0.000000395
hemorrhoids,Obsessive-Compulsive Disorder,0.000000409
menorrhagia,Obsessive-Compulsive Disorder,0.000000409
hypertrichosis,Facial Dermatoses,0.00000041
hypertrichosis,Foot Dermatoses,0.00000041
hypertrichosis,Hand Dermatoses,0.00000041
hypertrichosis,Leg Dermatoses,0.00000041
hypertrichosis,Scalp Dermatoses,0.00000041
Stevens - Johnson syndrome,Haemophilus Infections,0.000000411
chest pain,Diabetic Nephropathies,0.000000419
chest pain,"Ventricular Dysfunction, Left",0.000000419
Diaper rash,Escherichia coli Infections,0.00000042
fecal impaction,Schizophrenia,0.00000042
alopecia,Depressive Disorder,0.000000423
telangiectasia,Facial Dermatoses,0.000000437
telangiectasia,Foot Dermatoses,0.000000437
telangiectasia,Hand Dermatoses,0.000000437
telangiectasia,Leg Dermatoses,0.000000437
telangiectasia,Scalp Dermatoses,0.000000437
thrombocythemia,"Skin Diseases, Bacterial",0.000000441
syncope,Diabetic Nephropathies,0.00000045
syncope,"Ventricular Dysfunction, Left",0.00000045
anaphylaxis,"Pneumonia, Bacterial",0.000000455
AV block,Atrial Flutter,0.000000464
erythema multiforme,Haemophilus Infections,0.000000464
myocardial infarction,Depressive Disorder,0.000000487
anaphylaxis,Osteoarthritis,0.000000526
eosinophilia,"Bone Diseases, Infectious",0.000000526
paraparesis,Hematologic Diseases,0.000000529
paraparesis,Neoplasms,0.000000529
chest pain,Hypertension,0.000000537
interstitial nephritis,Staphylococcal Infections,0.000000544
Stevens - Johnson syndrome,Osteoarthritis,0.000000562
polymyalgia rheumatica,Hypercholesterolemia,0.000000565
agranulocytosis,Escherichia coli Infections,0.000000586
erythema multiforme,Staphylococcal Infections,0.000000598
eructation,Obsessive-Compulsive Disorder,0.000000607
heart block,Depressive Disorder,0.000000611
aplastic anemia,"Pneumonia, Bacterial",0.000000627
amenorrhea,Bipolar Disorder,0.000000631
pulmonary fibrosis,Testicular Neoplasms,0.000000635
sinus arrest,Atrial Fibrillation,0.000000637
breast enlargement,Obsessive-Compulsive Disorder,0.000000663
SIADH,Obsessive-Compulsive Disorder,0.000000663
arthrosis,Obsessive-Compulsive Disorder,0.000000668
myalgia,Diabetic Nephropathies,0.000000736
myalgia,"Ventricular Dysfunction, Left",0.000000736
arrhythmia,Depressive Disorder,0.000000742
hyperacusis,Depressive Disorder,0.000000769
hyperesthesia,Obsessive-Compulsive Disorder,0.000000772
hemorrhage,Breast Neoplasms,0.000000783
pancytopenia,Haemophilus Infections,0.000000836
dry mouth,Depressive Disorder,0.000000837
pyelonephritis,Obsessive-Compulsive Disorder,0.000000849
heartburn,Osteoarthritis,0.000000851
peptic ulcer,"Arthritis, Rheumatoid",0.000000851
dizziness,Hypertension,0.000000854
photophobia,Obsessive-Compulsive Disorder,0.000000882
neutropenia,"Pneumonia, Bacterial",0.000000884
leg cramps,Bipolar Disorder,0.000000895
menstrual disorder,Obsessive-Compulsive Disorder,0.000000896
neutropenia,Haemophilus Infections,0.000000909
muscle cramps,Hypertension,0.000000911
nausea,Nausea,0.000000916
cirrhosis,Hypercholesterolemia,0.000000943
aplastic anemia,"Skin Diseases, Bacterial",0.000000965
polyuria,Obsessive-Compulsive Disorder,0.000000965
seizures,Soft Tissue Infections,0.00000097
agranulocytosis,Proteus Infections,0.000000975
eosinophilia,Gonorrhea,0.000000977
eosinophilia,"Pneumonia, Bacterial",0.000000977
personality disorder,"Epilepsies, Partial",0.000000992
lightheadedness,Ventricular Fibrillation,0.000000999
melena,Osteoarthritis,0.000001
abnormal gait,"Epilepsies, Partial",0.000001
hemorrhage,Escherichia coli Infections,0.00000105
glossitis,Obsessive-Compulsive Disorder,0.00000106
petechiae,Depressive Disorder,0.00000106
claudication,Myocardial Infarction,0.00000107
gynecomastia,Depressive Disorder,0.00000109
weight loss,Bipolar Disorder,0.0000011
papilledema,Hematologic Diseases,0.00000114
papilledema,Neoplasms,0.00000114
pseudotumor cerebri,Hematologic Diseases,0.00000114
pseudotumor cerebri,Neoplasms,0.00000114
tardive dyskinesia,Depressive Disorder,0.00000114
thrombocythemia,Bacteroides Infections,0.00000115
alopecia,Streptococcal Infections,0.00000116
postural hypotension,Diabetic Nephropathies,0.00000116
postural hypotension,"Ventricular Dysfunction, Left",0.00000116
Aseptic necrosis,Adrenal Insufficiency,0.00000116
Aseptic necrosis,Hypersensitivity,0.00000116
pulmonary fibrosis,"Leukemia, Lymphocytic, Chronic, B-Cell",0.00000119
Dyspepsia,Osteoarthritis,0.00000122
hallucinations,Bipolar Disorder,0.00000122
gout,Hypertension,0.00000123
aplastic anemia,Soft Tissue Infections,0.00000126
pemphigus,Hypertension,0.00000129
hemolytic anemia,Streptococcal Infections,0.0000013
renal papillary necrosis,"Spondylitis, Ankylosing",0.00000132
eosinophilia,Pseudomonas Infections,0.00000136
constitutional symptoms,"Carcinoma, Non-Small-Cell Lung",0.00000137
constitutional symptoms,Pancreatic Neoplasms,0.00000137
constitutional symptoms,Rhabdomyosarcoma,0.00000137
constitutional symptoms,Stomach Neoplasms,0.00000137
metrorrhagia,Obsessive-Compulsive Disorder,0.00000137
vaginitis,"Bone Diseases, Infectious",0.00000138
vaginitis,Bronchitis,0.00000141
thrombocytopenia,Urinary Tract Infections,0.00000146
vaginal moniliasis,Proteus Infections,0.00000148
vomiting,"Glaucoma, Open-Angle",0.00000152
amnesia,Bipolar Disorder,0.00000153
galactorrhea,Psychotic Disorders,0.00000153
Parkinson,Bipolar Disorder,0.00000157
purpura,Osteoarthritis,0.00000161
colitis,Obsessive-Compulsive Disorder,0.00000162
cystitis,Obsessive-Compulsive Disorder,0.00000162
esophagitis,Obsessive-Compulsive Disorder,0.00000162
eye pain,Obsessive-Compulsive Disorder,0.00000162
venous thrombosis,Breast Neoplasms,0.00000164
deep vein thrombosis,Breast Neoplasms,0.00000167
hyperprolactinemia,Obsessive-Compulsive Disorder,0.00000168
ulcer,Inflammation,0.0000017
sialadenitis,Edema,0.00000175
increased salivation,Psychotic Disorders,0.00000176
pseudomembranous colitis,Cystitis,0.00000177
pseudomembranous colitis,"Meningitis, Bacterial",0.00000177
pseudomembranous colitis,Peritonitis,0.00000177
pseudomembranous colitis,Sepsis,0.00000177
pseudomembranous colitis,Serratia Infections,0.00000177
testicular swelling,Pain,0.00000178
kidney calculus,Obsessive-Compulsive Disorder,0.00000179
myopathy,Coronary Artery Disease,0.00000179
myopathy,Hyperlipoproteinemias,0.00000179
myopathy,Hypertriglyceridemia,0.00000179
neuralgia,Obsessive-Compulsive Disorder,0.00000179
ulcer,Osteoarthritis,0.00000185
positive ANA,Diabetic Nephropathies,0.00000186
positive ANA,"Ventricular Dysfunction, Left",0.00000186
cardiac arrest,"Tachycardia, Supraventricular",0.00000188
pancytopenia,Streptococcal Infections,0.00000188
amblyopia,Bipolar Disorder,0.00000193
paresthesia,Hypertension,0.00000195
urinary retention,Schizophrenia,0.000002
ureteral obstruction,Testicular Neoplasms,0.00000201
visual field defect,Obsessive-Compulsive Disorder,0.00000204
coma,Bipolar Disorder,0.00000207
bronchospasm,Myocardial Infarction,0.00000209
thrombocythemia,Bronchitis,0.00000209
ataxia,"Epilepsies, Partial",0.00000214
constitutional symptoms,"Lymphoma, Non-Hodgkin",0.00000215
moniliasis,Staphylococcal Infections,0.00000217
wheezing,Asthma,0.00000218
neurosis,Obsessive-Compulsive Disorder,0.00000219
sexual dysfunction,Obsessive-Compulsive Disorder,0.00000219
hemorrhage,"Pneumonia, Bacterial",0.00000223
eczema,Obsessive-Compulsive Disorder,0.00000225
glycosuria,Edema,0.00000225
psychosis,Obsessive-Compulsive Disorder,0.00000225
vaginal moniliasis,Soft Tissue Infections,0.00000229
goiter,Depressive Disorder,0.00000235
pathological fracture,Hematologic Diseases,0.00000249
pathological fracture,Neoplasms,0.00000249
hypernatremia,Hematologic Diseases,0.00000249
hypernatremia,Neoplasms,0.00000249
infection,Klebsiella Infections,0.00000253
agranulocytosis,Haemophilus Infections,0.00000255
serum sickness,Gonorrhea,0.00000261
serum sickness,"Pneumonia, Bacterial",0.00000261
Diabetic ketoacidosis,Bipolar Disorder,0.00000263
psychosis,"Epilepsies, Partial",0.00000263
salpingitis,Obsessive-Compulsive Disorder,0.00000263
paraplegia,Hematologic Diseases,0.00000264
paraplegia,Neoplasms,0.00000264
pyoderma,Facial Dermatoses,0.00000264
pyoderma,Foot Dermatoses,0.00000264
pyoderma,Hand Dermatoses,0.00000264
pyoderma,Leg Dermatoses,0.00000264
pyoderma,Scalp Dermatoses,0.00000264
galactorrhea,Panic Disorder,0.00000265
tardive dyskinesia,Tourette Syndrome,0.0000027
fasciitis,Osteoarthritis,0.00000274
pigmentary retinopathy,Schizophrenia,0.00000274
seizures,Depressive Disorder,0.00000274
agranulocytosis,Staphylococcal Infections,0.00000277
dyskinesia,Bipolar Disorder,0.00000277
ear pain,Bipolar Disorder,0.00000278
adenitis,Enuresis,0.00000278
