"phenotype"	"phenotypeLabel"
"http://purl.obolibrary.org/obo/HP_0009738"	"Abnormality of the antihelix"
"http://purl.obolibrary.org/obo/HP_0010803"	"Everted upper lip vermilion"
"http://purl.obolibrary.org/obo/HP_0010916"	"Abnormal circulating alanine concentration"
"http://purl.obolibrary.org/obo/HP_0025068"	"Incomitant strabismus"
"http://purl.obolibrary.org/obo/HP_0000696"	"Delayed eruption of permanent teeth"
"http://purl.obolibrary.org/obo/HP_0011474"	"Childhood onset sensorineural hearing impairment"
"http://purl.obolibrary.org/obo/HP_0000703"	"Dentinogenesis imperfecta"
"http://purl.obolibrary.org/obo/HP_0032152"	"Keratosis pilaris"
"http://purl.obolibrary.org/obo/HP_0000561"	"Absent eyelashes"
"http://purl.obolibrary.org/obo/HP_0000674"	"Anodontia"
"http://purl.obolibrary.org/obo/HP_0008479"	"Hypoplastic vertebral bodies"
"http://purl.obolibrary.org/obo/HP_0001994"	"Renal Fanconi syndrome"
"http://purl.obolibrary.org/obo/HP_0003417"	"Coronal cleft vertebrae"
"http://purl.obolibrary.org/obo/HP_0003572"	"Low plasma citrulline"
"http://purl.obolibrary.org/obo/HP_0002056"	"Abnormality of the glabella"
"http://purl.obolibrary.org/obo/HP_0007344"	"Atrophy/Degeneration involving the spinal cord"
"http://purl.obolibrary.org/obo/HP_0000041"	"Chordee"
"http://purl.obolibrary.org/obo/HP_0004637"	"Decreased cervical spine mobility"
"http://purl.obolibrary.org/obo/HP_0100324"	"Scleroderma"
"http://purl.obolibrary.org/obo/HP_0005518"	"Increased mean corpuscular volume"
"http://purl.obolibrary.org/obo/HP_0007291"	"Posterior fossa cyst"
"http://purl.obolibrary.org/obo/HP_0012808"	"Abnormal nasal base"
"http://purl.obolibrary.org/obo/HP_0030858"	"Addictive behavior"
"http://purl.obolibrary.org/obo/HP_0006335"	"Persistence of primary teeth"
"http://purl.obolibrary.org/obo/HP_0200136"	"Oral-pharyngeal dysphagia"
"http://purl.obolibrary.org/obo/HP_0002453"	"Abnormal globus pallidus morphology"
"http://purl.obolibrary.org/obo/HP_0008188"	"Thyroid dysgenesis"
"http://purl.obolibrary.org/obo/HP_0000016"	"Urinary retention"
"http://purl.obolibrary.org/obo/HP_0008438"	"Vertebral arch anomaly"
"http://purl.obolibrary.org/obo/HP_0200123"	"Chronic hepatitis"
"http://purl.obolibrary.org/obo/HP_0200125"	"Mitochondrial respiratory chain defects"
"http://purl.obolibrary.org/obo/HP_0006999"	"Basal ganglia gliosis"
"http://purl.obolibrary.org/obo/HP_0000321"	"Square face"
"http://purl.obolibrary.org/obo/HP_0000487"	"obsolete Congenital strabismus"
"http://purl.obolibrary.org/obo/HP_0000636"	"Upper eyelid coloboma"
"http://purl.obolibrary.org/obo/HP_0000652"	"Lower eyelid coloboma"
"http://purl.obolibrary.org/obo/HP_0000807"	"Glandular hypospadias"
"http://purl.obolibrary.org/obo/HP_0000900"	"Thickened ribs"
"http://purl.obolibrary.org/obo/HP_0001178"	"Ulnar claw"
"http://purl.obolibrary.org/obo/HP_0002227"	"White eyelashes"
"http://purl.obolibrary.org/obo/HP_0002508"	"Brainstem dysplasia"
"http://purl.obolibrary.org/obo/HP_0002825"	"Caudal appendage"
"http://purl.obolibrary.org/obo/HP_0002914"	"Hyperchloriduria"
"http://purl.obolibrary.org/obo/HP_0003163"	"Elevated urinary delta-aminolevulinic acid"
"http://purl.obolibrary.org/obo/HP_0003250"	"Aplasia of the vagina"
"http://purl.obolibrary.org/obo/HP_0003495"	"GM2-ganglioside accumulation"
"http://purl.obolibrary.org/obo/HP_0004244"	"Accessory scaphoid"
"http://purl.obolibrary.org/obo/HP_0004438"	"Hyperostosis frontalis interna"
"http://purl.obolibrary.org/obo/HP_0004576"	"Sclerotic vertebral endplates"
"http://purl.obolibrary.org/obo/HP_0004660"	"Hypoplasia of facial musculature"
"http://purl.obolibrary.org/obo/HP_0005103"	"Calcification of the auricular cartilage"
"http://purl.obolibrary.org/obo/HP_0005121"	"Posterior scalloping of vertebral bodies"
"http://purl.obolibrary.org/obo/HP_0005274"	"Prominent nasal tip"
"http://purl.obolibrary.org/obo/HP_0005301"	"Persistent left superior vena cava"
"http://purl.obolibrary.org/obo/HP_0005411"	"Chronic intestinal candidiasis"
"http://purl.obolibrary.org/obo/HP_0005527"	"Reduced kininogen activity"
"http://purl.obolibrary.org/obo/HP_0005679"	"Dupuytren contracture"
"http://purl.obolibrary.org/obo/HP_0005899"	"Metaphyseal dysostosis"
"http://purl.obolibrary.org/obo/HP_0005976"	"Hyperkalemic metabolic acidosis"
"http://purl.obolibrary.org/obo/HP_0006233"	"Osteoarthritis of the distal interphalangeal joint"
"http://purl.obolibrary.org/obo/HP_0006332"	"Supernumerary maxillary incisor"
"http://purl.obolibrary.org/obo/HP_0006518"	"Pulmonary venous occlusion"
"http://purl.obolibrary.org/obo/HP_0006568"	"Increased hepatic glycogen content"
"http://purl.obolibrary.org/obo/HP_0006645"	"Thin clavicles"
"http://purl.obolibrary.org/obo/HP_0006959"	"Proximal spinal muscular atrophy"
"http://purl.obolibrary.org/obo/HP_0007023"	"Antenatal intracerebral hemorrhage"
"http://purl.obolibrary.org/obo/HP_0007332"	"Focal hemifacial clonic seizure"
"http://purl.obolibrary.org/obo/HP_0007413"	"Nevus flammeus of the forehead"
"http://purl.obolibrary.org/obo/HP_0007436"	"Hair-nail ectodermal dysplasia"
"http://purl.obolibrary.org/obo/HP_0007835"	"S-shaped palpebral fissures"
"http://purl.obolibrary.org/obo/HP_0007965"	"Undetectable visual evoked potentials"
"http://purl.obolibrary.org/obo/HP_0007987"	"Progressive visual field defects"
"http://purl.obolibrary.org/obo/HP_0008073"	"Low maternal serum estriol"
"http://purl.obolibrary.org/obo/HP_0008093"	"Short 4th toe"
"http://purl.obolibrary.org/obo/HP_0008141"	"Dislocation of toes"
"http://purl.obolibrary.org/obo/HP_0008264"	"Neutrophil inclusion bodies"
"http://purl.obolibrary.org/obo/HP_0008326"	"Reduced circulating vitamin B6 level"
"http://purl.obolibrary.org/obo/HP_0008423"	"Spinal dysplasia"
"http://purl.obolibrary.org/obo/HP_0008676"	"Congenital megaureter"
"http://purl.obolibrary.org/obo/HP_0008687"	"Hypoplasia of the prostate"
"http://purl.obolibrary.org/obo/HP_0008843"	"Hip osteoarthritis"
"http://purl.obolibrary.org/obo/HP_0009088"	"Speech articulation difficulties"
"http://purl.obolibrary.org/obo/HP_0009780"	"Iliac horns"
"http://purl.obolibrary.org/obo/HP_0009927"	"Aplasia of the nose"
"http://purl.obolibrary.org/obo/HP_0010501"	"Limitation of knee mobility"
"http://purl.obolibrary.org/obo/HP_0010512"	"Adrenal calcification"
"http://purl.obolibrary.org/obo/HP_0010561"	"Undulate ribs"
"http://purl.obolibrary.org/obo/HP_0010677"	"Enuresis nocturna"
"http://purl.obolibrary.org/obo/HP_0010753"	"Midline defect of mandible"
"http://purl.obolibrary.org/obo/HP_0010773"	"Partial anomalous pulmonary venous return"
"http://purl.obolibrary.org/obo/HP_0010779"	"Large pelvis bone"
"http://purl.obolibrary.org/obo/HP_0010793"	"Bifid nail"
"http://purl.obolibrary.org/obo/HP_0010795"	"Cerebellar glioma"
"http://purl.obolibrary.org/obo/HP_0010830"	"Impaired tactile sensation"
"http://purl.obolibrary.org/obo/HP_0010961"	"Intralobar sequestration"
"http://purl.obolibrary.org/obo/HP_0011152"	"Early onset absence seizures"
"http://purl.obolibrary.org/obo/HP_0011179"	"Beta-EEG"
"http://purl.obolibrary.org/obo/HP_0011433"	"High maternal serum chorionic gonadotropin"
"http://purl.obolibrary.org/obo/HP_0011546"	"Abnormal atrioventricular connection"
"http://purl.obolibrary.org/obo/HP_0011579"	"Unbalanced atrioventricular canal defect"
"http://purl.obolibrary.org/obo/HP_0011582"	"Abdominal ectopia cordis"
"http://purl.obolibrary.org/obo/HP_0011614"	"Interrupted aortic arch type C"
"http://purl.obolibrary.org/obo/HP_0011622"	"Inlet ventricular septal defect"
"http://purl.obolibrary.org/obo/HP_0011643"	"Coronary sinus atrial septal defect"
"http://purl.obolibrary.org/obo/HP_0011659"	"Tetralogy of Fallot with absent pulmonary valve"
"http://purl.obolibrary.org/obo/HP_0011683"	"Restrictive ventricular septal defect"
"http://purl.obolibrary.org/obo/HP_0011686"	"Abnormal coronary artery course"
"http://purl.obolibrary.org/obo/HP_0011700"	"Automatic atrial tachycardia"
"http://purl.obolibrary.org/obo/HP_0011782"	"Thyroid crisis"
"http://purl.obolibrary.org/obo/HP_0011841"	"Ventricular flutter"
"http://purl.obolibrary.org/obo/HP_0012052"	"Low serum calcitriol"
"http://purl.obolibrary.org/obo/HP_0012146"	"Abnormality of von Willebrand factor"
"http://purl.obolibrary.org/obo/HP_0012205"	"Globozoospermia"
"http://purl.obolibrary.org/obo/HP_0012225"	"Oligodontia of primary teeth"
"http://purl.obolibrary.org/obo/HP_0012338"	"Abnormal energy expenditure"
"http://purl.obolibrary.org/obo/HP_0012371"	"Hyperplasia of midface"
"http://purl.obolibrary.org/obo/HP_0012407"	"Scissor gait"
"http://purl.obolibrary.org/obo/HP_0012427"	"Excessive femoral anteversion"
"http://purl.obolibrary.org/obo/HP_0012626"	"Stage 4 chronic kidney disease"
"http://purl.obolibrary.org/obo/HP_0012667"	"Regional left ventricular wall motion abnormality"
"http://purl.obolibrary.org/obo/HP_0012679"	"Widened interpedicular distance"
"http://purl.obolibrary.org/obo/HP_0012712"	"Mild hearing impairment"
"http://purl.obolibrary.org/obo/HP_0012760"	"Impaired social reciprocity"
"http://purl.obolibrary.org/obo/HP_0012775"	"Stellate iris"
"http://purl.obolibrary.org/obo/HP_0012782"	"Perilobar nephrogenic rest"
"http://purl.obolibrary.org/obo/HP_0025037"	"Hypothalamic gliosis"
"http://purl.obolibrary.org/obo/HP_0025069"	"Concomitant strabismus"
"http://purl.obolibrary.org/obo/HP_0025075"	"Increased QRS voltage"
"http://purl.obolibrary.org/obo/HP_0025077"	"Decreased QRS voltage"
"http://purl.obolibrary.org/obo/HP_0025078"	"Electrical alternans"
"http://purl.obolibrary.org/obo/HP_0025110"	"Placoid macular lesion"
"http://purl.obolibrary.org/obo/HP_0025168"	"Left ventricular diastolic dysfunction"
"http://purl.obolibrary.org/obo/HP_0025223"	"Triggered by smoking"
"http://purl.obolibrary.org/obo/HP_0025248"	"Eruptive vellus hair cyst"
"http://purl.obolibrary.org/obo/HP_0025260"	"Stiff wrist"
"http://purl.obolibrary.org/obo/HP_0025330"	"Downgaze palsy"
"http://purl.obolibrary.org/obo/HP_0025437"	"Macrocephalic sperm head"
"http://purl.obolibrary.org/obo/HP_0025464"	"Increased reactive oxygen species production"
"http://purl.obolibrary.org/obo/HP_0025492"	"Microcoria"
"http://purl.obolibrary.org/obo/HP_0025507"	"Yellow papule"
"http://purl.obolibrary.org/obo/HP_0030051"	"Tip-toe gait"
"http://purl.obolibrary.org/obo/HP_0030251"	"Absence of memory B cells"
"http://purl.obolibrary.org/obo/HP_0030276"	"Small scrotum"
"http://purl.obolibrary.org/obo/HP_0030323"	"Unilateral vertebral artery hypoplasia"
"http://purl.obolibrary.org/obo/HP_0030713"	"Vein of Galen aneurysmal malformation"
"http://purl.obolibrary.org/obo/HP_0030730"	"Parietal meningocele"
"http://purl.obolibrary.org/obo/HP_0030742"	"Glial remnants posterior to lens"
"http://purl.obolibrary.org/obo/HP_0030743"	"Glial remnants anterior to the optic disc"
"http://purl.obolibrary.org/obo/HP_0030849"	"Hepatojugular reflux"
"http://purl.obolibrary.org/obo/HP_0030925"	"5-minute APGAR score of 5"
"http://purl.obolibrary.org/obo/HP_0030934"	"Oral erythroplakia"
"http://purl.obolibrary.org/obo/HP_0030957"	"Ventricular septal aneurysm"
"http://purl.obolibrary.org/obo/HP_0030965"	"Aortic stiffness"
"http://purl.obolibrary.org/obo/HP_0031033"	"Impaired urinary acidification"
"http://purl.obolibrary.org/obo/HP_0031123"	"Recurrent gastroenteritis"
"http://purl.obolibrary.org/obo/HP_0031297"	"Unroofed coronary sinus"
"http://purl.obolibrary.org/obo/HP_0031301"	"Peripheral arterial calcification"
"http://purl.obolibrary.org/obo/HP_0031311"	"Middle cerebral artery calcification"
"http://purl.obolibrary.org/obo/HP_0031332"	"Cardiomyocyte degeneration"
"http://purl.obolibrary.org/obo/HP_0031407"	"Impaired cytokine signaling"
"http://purl.obolibrary.org/obo/HP_0031423"	"Small cerebellar cortex"
"http://purl.obolibrary.org/obo/HP_0031450"	"Polycyclic"
"http://purl.obolibrary.org/obo/HP_0031453"	"Oral lichenoid lesion"
"http://purl.obolibrary.org/obo/HP_0031603"	"Impaired nasal mucociliary clearance"
"http://purl.obolibrary.org/obo/HP_0031629"	"Impaired tandem gait"
"http://purl.obolibrary.org/obo/HP_0040180"	"obsolete Hyperkeratosis pilaris"
"http://purl.obolibrary.org/obo/HP_0040269"	"Blocked Eustachian tube"
"http://purl.obolibrary.org/obo/HP_0040291"	"Skeletal muscle steatosis"
"http://purl.obolibrary.org/obo/HP_0100269"	"Paramedian lip pit"
"http://purl.obolibrary.org/obo/HP_0100535"	"Tibiofibular diastasis"
"http://purl.obolibrary.org/obo/HP_0100668"	"Intestinal duplication"
"http://purl.obolibrary.org/obo/HP_0100876"	"Infra-orbital crease"
"http://purl.obolibrary.org/obo/HP_0200048"	"Cyanotic episode"
"http://purl.obolibrary.org/obo/HP_0500060"	"Retinopathy of prematurity zone II"
"http://purl.obolibrary.org/obo/MP_0000024"	"lowered ear position"
"http://purl.obolibrary.org/obo/MP_0000103"	"nasal bone hypoplasia"
"http://purl.obolibrary.org/obo/MP_0000203"	"abnormal circulating aspartate transaminase level"
"http://purl.obolibrary.org/obo/MP_0000455"	"abnormal maxilla morphology"
"http://purl.obolibrary.org/obo/MP_0000558"	"abnormal tibia morphology"
"http://purl.obolibrary.org/obo/MP_0000649"	"sebaceous gland atrophy"
"http://purl.obolibrary.org/obo/MP_0000857"	"abnormal cerebellar foliation"
"http://purl.obolibrary.org/obo/MP_0001214"	"skin hyperplasia"
"http://purl.obolibrary.org/obo/MP_0001241"	"absent epidermis stratum corneum"
"http://purl.obolibrary.org/obo/MP_0001257"	"increased body length"
"http://purl.obolibrary.org/obo/MP_0001280"	"loss of vibrissae"
"http://purl.obolibrary.org/obo/MP_0001652"	"colonic necrosis"
"http://purl.obolibrary.org/obo/MP_0001798"	"impaired macrophage phagocytosis"
"http://purl.obolibrary.org/obo/MP_0001927"	"abnormal estrous cycle"
"http://purl.obolibrary.org/obo/MP_0002176"	"increased brain weight"
"http://purl.obolibrary.org/obo/MP_0002188"	"small heart"
"http://purl.obolibrary.org/obo/MP_0002256"	"abnormal laryngeal cartilage morphology"
"http://purl.obolibrary.org/obo/MP_0002304"	"abnormal total lung capacity"
"http://purl.obolibrary.org/obo/MP_0002427"	"disproportionate dwarf"
"http://purl.obolibrary.org/obo/MP_0002495"	"increased IgA level"
"http://purl.obolibrary.org/obo/MP_0002663"	"absent blastocoele"
"http://purl.obolibrary.org/obo/MP_0002678"	"increased follicle recruitment"
"http://purl.obolibrary.org/obo/MP_0002696"	"decreased circulating glucagon level"
"http://purl.obolibrary.org/obo/MP_0002790"	"decreased circulating follicle stimulating hormone level"
"http://purl.obolibrary.org/obo/MP_0002823"	"abnormal rib development"
"http://purl.obolibrary.org/obo/MP_0002834"	"decreased heart weight"
"http://purl.obolibrary.org/obo/MP_0002923"	"increased post-tetanic potentiation"
"http://purl.obolibrary.org/obo/MP_0002997"	"enlarged seminal vesicle"
"http://purl.obolibrary.org/obo/MP_0003231"	"abnormal placenta vasculature"
"http://purl.obolibrary.org/obo/MP_0003357"	"impaired granulosa cell differentiation"
"http://purl.obolibrary.org/obo/MP_0003445"	"sirenomelia"
"http://purl.obolibrary.org/obo/MP_0003564"	"abnormal insulin secretion"
"http://purl.obolibrary.org/obo/MP_0003735"	"cup-shaped ears"
"http://purl.obolibrary.org/obo/MP_0003858"	"enhanced coordination"
"http://purl.obolibrary.org/obo/MP_0003882"	"abnormal pulse pressure"
"http://purl.obolibrary.org/obo/MP_0003902"	"abnormal cell mass"
"http://purl.obolibrary.org/obo/MP_0004052"	"decreased renal sympathetic nerve activity"
"http://purl.obolibrary.org/obo/MP_0004145"	"abnormal muscle electrophysiology"
"http://purl.obolibrary.org/obo/MP_0004158"	"right aortic arch"
"http://purl.obolibrary.org/obo/MP_0004204"	"absent stapes"
"http://purl.obolibrary.org/obo/MP_0004272"	"abnormal basement membrane morphology"
"http://purl.obolibrary.org/obo/MP_0004311"	"otic vesicle hypoplasia"
"http://purl.obolibrary.org/obo/MP_0004357"	"long tibia"
"http://purl.obolibrary.org/obo/MP_0004371"	"bowed femur"
"http://purl.obolibrary.org/obo/MP_0004673"	"splayed ribs"
"http://purl.obolibrary.org/obo/MP_0004734"	"small thoracic cavity"
"http://purl.obolibrary.org/obo/MP_0004809"	"increased hematopoietic stem cell number"
"http://purl.obolibrary.org/obo/MP_0004994"	"abnormal brain wave pattern"
"http://purl.obolibrary.org/obo/MP_0005171"	"absent coat pigmentation"
"http://purl.obolibrary.org/obo/MP_0005289"	"increased oxygen consumption"
"http://purl.obolibrary.org/obo/MP_0005318"	"decreased triglyceride level"
"http://purl.obolibrary.org/obo/MP_0005353"	"abnormal patella morphology"
"http://purl.obolibrary.org/obo/MP_0005488"	"bronchial epithelial hyperplasia"
"http://purl.obolibrary.org/obo/MP_0005517"	"decreased liver regeneration"
"http://purl.obolibrary.org/obo/MP_0005535"	"abnormal body temperature"
"http://purl.obolibrary.org/obo/MP_0005565"	"increased blood urea nitrogen level"
"http://purl.obolibrary.org/obo/MP_0006109"	"fibrillation"
"http://purl.obolibrary.org/obo/MP_0006116"	"calcified aortic valve"
"http://purl.obolibrary.org/obo/MP_0006137"	"venoocclusion"
"http://purl.obolibrary.org/obo/MP_0006236"	"absent Meibomian glands"
"http://purl.obolibrary.org/obo/MP_0006265"	"increased pulse pressure"
"http://purl.obolibrary.org/obo/MP_0006418"	"abnormal testis cord formation"
"http://purl.obolibrary.org/obo/MP_0008450"	"retinal photoreceptor degeneration"
"http://purl.obolibrary.org/obo/MP_0008489"	"slow postnatal weight gain"
"http://purl.obolibrary.org/obo/MP_0008493"	"alpha-synuclein inclusion body"
"http://purl.obolibrary.org/obo/MP_0008568"	"abnormal interleukin secretion"
"http://purl.obolibrary.org/obo/MP_0008675"	"increased interleukin-15 secretion"
"http://purl.obolibrary.org/obo/MP_0008705"	"increased interleukin-6 secretion"
"http://purl.obolibrary.org/obo/MP_0008983"	"small vagina"
"http://purl.obolibrary.org/obo/MP_0008999"	"absent anus"
"http://purl.obolibrary.org/obo/MP_0009045"	"muscle tetany"
"http://purl.obolibrary.org/obo/MP_0009105"	"penis prolapse"
"http://purl.obolibrary.org/obo/MP_0009148"	"pancreas necrosis"
"http://purl.obolibrary.org/obo/MP_0009173"	"absent pancreatic islets"
"http://purl.obolibrary.org/obo/MP_0009350"	"decreased urine pH"
"http://purl.obolibrary.org/obo/MP_0009418"	"cardiac muscle atrophy"
"http://purl.obolibrary.org/obo/MP_0009431"	"decreased fetal weight"
"http://purl.obolibrary.org/obo/MP_0009460"	"skeletal muscle hypoplasia"
"http://purl.obolibrary.org/obo/MP_0009659"	"striated fur"
"http://purl.obolibrary.org/obo/MP_0009674"	"decreased birth weight"
"http://purl.obolibrary.org/obo/MP_0009699"	"hyperchylomicronemia"
"http://purl.obolibrary.org/obo/MP_0009828"	"increased tumor latency"
"http://purl.obolibrary.org/obo/MP_0010122"	"abnormal bone mineral content"
"http://purl.obolibrary.org/obo/MP_0010124"	"decreased bone mineral content"
"http://purl.obolibrary.org/obo/MP_0010208"	"prognathia"
"http://purl.obolibrary.org/obo/MP_0010419"	"inlet ventricular septal defect"
"http://purl.obolibrary.org/obo/MP_0010456"	"hemitruncus"
"http://purl.obolibrary.org/obo/MP_0010580"	"decreased heart left ventricle size"
"http://purl.obolibrary.org/obo/MP_0010605"	"thick pulmonary valve cusps"
"http://purl.obolibrary.org/obo/MP_0010656"	"thick myocardium"
"http://purl.obolibrary.org/obo/MP_0010657"	"absent pulmonary trunk"
"http://purl.obolibrary.org/obo/MP_0010665"	"persistent vitelline artery"
"http://purl.obolibrary.org/obo/MP_0010677"	"decreased activation-induced cell death of T cells"
"http://purl.obolibrary.org/obo/MP_0010732"	"abnormal node of Ranvier morphology"
"http://purl.obolibrary.org/obo/MP_0010748"	"abnormal visual evoked potential"
"http://purl.obolibrary.org/obo/MP_0010759"	"decreased right ventricle systolic pressure"
"http://purl.obolibrary.org/obo/MP_0010788"	"stomach hypoplasia"
"http://purl.obolibrary.org/obo/MP_0010874"	"abnormal bone volume"
"http://purl.obolibrary.org/obo/MP_0010908"	"dilated pulmonary alveolar ducts"
"http://purl.obolibrary.org/obo/MP_0011016"	"increased core body temperature"
"http://purl.obolibrary.org/obo/MP_0011044"	"increased lung elastance"
"http://purl.obolibrary.org/obo/MP_0011250"	"abdominal situs ambiguus"
"http://purl.obolibrary.org/obo/MP_0011357"	"supernumerary renal arteries"
"http://purl.obolibrary.org/obo/MP_0011377"	"renal glomerulus fibrosis"
"http://purl.obolibrary.org/obo/MP_0011436"	"decreased urine magnesium level"
"http://purl.obolibrary.org/obo/MP_0011512"	"mesangial cell interposition"
"http://purl.obolibrary.org/obo/MP_0011534"	"granular kidney"
"http://purl.obolibrary.org/obo/MP_0011592"	"abnormal catalase activity"
"http://purl.obolibrary.org/obo/MP_0011612"	"increased circulating ghrelin level"
"http://purl.obolibrary.org/obo/MP_0011617"	"abnormal habituation"
"http://purl.obolibrary.org/obo/MP_0011658"	"interrupted aortic arch, type a"
"http://purl.obolibrary.org/obo/MP_0011667"	"double outlet right ventricle with atrioventricular septal defect"
"http://purl.obolibrary.org/obo/MP_0011712"	"arrested osteoblast differentiation"
"http://purl.obolibrary.org/obo/MP_0011737"	"hypodipsia"
"http://purl.obolibrary.org/obo/MP_0011775"	"rectal atresia"
"http://purl.obolibrary.org/obo/MP_0011879"	"ileum atresia"
"http://purl.obolibrary.org/obo/MP_0012017"	"grizzled coat color"
"http://purl.obolibrary.org/obo/MP_0012030"	"abnormal a wave amplitude"
"http://purl.obolibrary.org/obo/MP_0012305"	"umbilical cord hemorrhage"
"http://purl.obolibrary.org/obo/MP_0012606"	"increased glutathione level"
"http://purl.obolibrary.org/obo/MP_0012644"	"decreased 5-aminolevulinate synthase activity"
"http://purl.obolibrary.org/obo/MP_0013076"	"autopod wound"
"http://purl.obolibrary.org/obo/MP_0013288"	"premature acrosome reaction"
"http://purl.obolibrary.org/obo/MP_0013310"	"abnormal adrenal gland development"
"http://purl.obolibrary.org/obo/MP_0013531"	"abnormal periderm development"
"http://purl.obolibrary.org/obo/MP_0013615"	"increased volumetric bone mineral density"
"http://purl.obolibrary.org/obo/MP_0013713"	"decreased nipple size"
"http://purl.obolibrary.org/obo/MP_0013731"	"immature cataract"
"http://purl.obolibrary.org/obo/MP_0014018"	"embryo tumor"
"http://purl.obolibrary.org/obo/MP_0014043"	"decreased cellular sensitivity to cisplatin"
"http://purl.obolibrary.org/obo/MP_0014162"	"decreased circulating cortisol level"
"http://purl.obolibrary.org/obo/MP_0020245"	"decreased pyruvate kinase activity"
"http://purl.obolibrary.org/obo/MP_0020308"	"decreased creatine kinase activity"
"http://purl.obolibrary.org/obo/MP_0020401"	"argininuria"
"http://purl.obolibrary.org/obo/MP_0020421"	"increased freezing behavior"
"http://purl.obolibrary.org/obo/MP_0020456"	"decreased myelin sheath amount"
