Q9UI32	9606.ENSP00000310447
O95907	9606.ENSP00000321735
Q05586	9606.ENSP00000360608
P43116	9606.ENSP00000245457
P35968	9606.ENSP00000263923
Q969G6	9606.ENSP00000365926
P54368	9606.ENSP00000473381
Q14749	9606.ENSP00000361894
P48029	9606.ENSP00000253122
Q16836	9606.ENSP00000474560
P49069	9606.ENSP00000297156
P04070	9606.ENSP00000234071
P00505	9606.ENSP00000245206
P25103	9606.ENSP00000303522
P48551	9606.ENSP00000343957
P23945	9606.ENSP00000384708
P60880	9606.ENSP00000254976
P41595	9606.ENSP00000258400
P08246	9606.ENSP00000466090
O15399	9606.ENSP00000263269
P26440	9606.ENSP00000418397
P02794	9606.ENSP00000273550
O95182	9606.ENSP00000301457
P32238	9606.ENSP00000295589
P38435	9606.ENSP00000233838
P11926	9606.ENSP00000234111
P08173	9606.ENSP00000409378
P50416	9606.ENSP00000265641
P51659	9606.ENSP00000420914
P17540	9606.ENSP00000404203
P19793	9606.ENSP00000419692
O15554	9606.ENSP00000262888
Q14626	9606.ENSP00000450565
Q13224	9606.ENSP00000477455
P62158	9606.ENSP00000349467
P55017	9606.ENSP00000402152
P41143	9606.ENSP00000234961
P04083	9606.ENSP00000366109
P04181	9606.ENSP00000357838
P22303	9606.ENSP00000303211
P31749	9606.ENSP00000451828
Q13936	9606.ENSP00000266376
P30988	9606.ENSP00000352561
P42684	9606.ENSP00000427562
P08514	9606.ENSP00000262407
O15269	9606.ENSP00000262554
P29466	9606.ENSP00000433138
O15427	9606.ENSP00000463978
Q9UIC8	9606.ENSP00000382021
P28223	9606.ENSP00000437737
P30872	9606.ENSP00000267377
P10721	9606.ENSP00000288135
Q14957	9606.ENSP00000293190
Q96EY8	9606.ENSP00000445920
P22413	9606.ENSP00000354238
P37023	9606.ENSP00000373574
P30939	9606.ENSP00000322924
Q99460	9606.ENSP00000309474
O95665	9606.ENSP00000303686
P00326	9606.ENSP00000426083
P38484	9606.ENSP00000290219
O60706	9606.ENSP00000261200
Q13200	9606.ENSP00000310129
Q16718	9606.ENSP00000417142
P43119	9606.ENSP00000291294
Q16739	9606.ENSP00000363397
P48169	9606.ENSP00000264318
P43007	9606.ENSP00000234256
Q03154	9606.ENSP00000384296
O43497	9606.ENSP00000352011
P49821	9606.ENSP00000322450
P23975	9606.ENSP00000219833
Q07343	9606.ENSP00000332116
P15382	9606.ENSP00000337255
P16473	9606.ENSP00000441235
P05165	9606.ENSP00000365462
P28331	9606.ENSP00000392709
Q9Y5K3	9606.ENSP00000368439
P51172	9606.ENSP00000368411
P51170	9606.ENSP00000300061
P01130	9606.ENSP00000454071
P35348	9606.ENSP00000369960
Q13621	9606.ENSP00000379822
P03886	9606.ENSP00000354687
P07202	9606.ENSP00000318820
P41180	9606.ENSP00000420194
P02787	9606.ENSP00000385834
P04626	9606.ENSP00000269571
P48039	9606.ENSP00000302811
P20701	9606.ENSP00000349252
P54687	9606.ENSP00000443459
O75600	9606.ENSP00000371110
P04424	9606.ENSP00000307188
P25101	9606.ENSP00000315011
P40394	9606.ENSP00000420269
P34903	9606.ENSP00000359337
Q9P0J0	9606.ENSP00000423673
Q15274	9606.ENSP00000378782
P47871	9606.ENSP00000383558
Q12797	9606.ENSP00000368767
P17174	9606.ENSP00000359539
O14646	9606.ENSP00000483667
P28335	9606.ENSP00000276198
O60391	9606.ENSP00000234389
P22748	9606.ENSP00000300900
P02671	9606.ENSP00000306361
P09417	9606.ENSP00000281243
P04406	9606.ENSP00000229239
P09884	9606.ENSP00000368349
P22891	9606.ENSP00000344458
Q12791	9606.ENSP00000286628
P00352	9606.ENSP00000297785
P16066	9606.ENSP00000357669
P06401	9606.ENSP00000325120
O43837	9606.ENSP00000370223
P08172	9606.ENSP00000399745
P14778	9606.ENSP00000386380
Q92781	9606.ENSP00000257895
P08559	9606.ENSP00000369134
P18089	9606.ENSP00000480573
P04035	9606.ENSP00000287936
P35368	9606.ENSP00000306662
O43772	9606.ENSP00000326305
P35462	9606.ENSP00000373169
Q08426	9606.ENSP00000231887
P30519	9606.ENSP00000477572
P40925	9606.ENSP00000438144
P13612	9606.ENSP00000380227
P42330	9606.ENSP00000369927
P30043	9606.ENSP00000263368
Q9Y6M9	9606.ENSP00000276689
P06126	9606.ENSP00000289429
P12235	9606.ENSP00000281456
Q9UP95	9606.ENSP00000395983
Q9UKU7	9606.ENSP00000281182
O43776	9606.ENSP00000256854
O95865	9606.ENSP00000364945
P29803	9606.ENSP00000295266
P43088	9606.ENSP00000359793
P07101	9606.ENSP00000370571
P49585	9606.ENSP00000292823
P11586	9606.ENSP00000216605
P23378	9606.ENSP00000370737
P18031	9606.ENSP00000360683
P12236	9606.ENSP00000370808
Q02643	9606.ENSP00000320180
Q13085	9606.ENSP00000483300
P15509	9606.ENSP00000394227
P68871	9606.ENSP00000333994
Q9Y233	9606.ENSP00000438284
P41145	9606.ENSP00000265572
P15056	9606.ENSP00000288602
P30085	9606.ENSP00000360939
P42261	9606.ENSP00000428994
Q8TCU5	9606.ENSP00000355155
P08253	9606.ENSP00000219070
P48048	9606.ENSP00000376432
O60701	9606.ENSP00000319501
Q01959	9606.ENSP00000270349
P00390	9606.ENSP00000221130
P34969	9606.ENSP00000337949
P14784	9606.ENSP00000216223
P19235	9606.ENSP00000222139
P19429	9606.ENSP00000341838
P47712	9606.ENSP00000356436
P01589	9606.ENSP00000369293
P28221	9606.ENSP00000363748
O15270	9606.ENSP00000216484
P17181	9606.ENSP00000270139
P10276	9606.ENSP00000254066
P36896	9606.ENSP00000442656
Q9NYX4	9606.ENSP00000252939
P08235	9606.ENSP00000350815
P53985	9606.ENSP00000441065
P51787	9606.ENSP00000155840
Q9UG56	9606.ENSP00000371586
P20138	9606.ENSP00000262262
Q16671	9606.ENSP00000257863
O95169	9606.ENSP00000299166
Q13131	9606.ENSP00000346148
P16233	9606.ENSP00000358223
P10827	9606.ENSP00000264637
O14842	9606.ENSP00000246553
P05230	9606.ENSP00000480791
P07550	9606.ENSP00000305372
P62942	9606.ENSP00000383003
P11498	9606.ENSP00000377532
P49589	9606.ENSP00000369897
O00763	9606.ENSP00000341044
O95342	9606.ENSP00000263817
P01375	9606.ENSP00000398698
P48443	9606.ENSP00000352900
Q14654	9606.ENSP00000345708
P05141	9606.ENSP00000360671
P12314	9606.ENSP00000358165
P15260	9606.ENSP00000356713
P06732	9606.ENSP00000221476
P25100	9606.ENSP00000368766
Q14181	9606.ENSP00000265465
Q03405	9606.ENSP00000339328
P30838	9606.ENSP00000411821
P06729	9606.ENSP00000358490
O15382	9606.ENSP00000322991
P12268	9606.ENSP00000321584
P02818	9606.ENSP00000357255
P14868	9606.ENSP00000264161
Q96C36	9606.ENSP00000342502
P15538	9606.ENSP00000292427
P05023	9606.ENSP00000445306
Q99707	9606.ENSP00000355536
P09601	9606.ENSP00000216117
P30536	9606.ENSP00000379563
Q15822	9606.ENSP00000385026
P21817	9606.ENSP00000352608
P12081	9606.ENSP00000425634
P11388	9606.ENSP00000411532
P23416	9606.ENSP00000218075
P15121	9606.ENSP00000285930
P21802	9606.ENSP00000410294
P31645	9606.ENSP00000261707
O43681	9606.ENSP00000466379
P01178	9606.ENSP00000217386
P19634	9606.ENSP00000263980
P49448	9606.ENSP00000327589
P14416	9606.ENSP00000354859
Q9H015	9606.ENSP00000200652
P78540	9606.ENSP00000261783
P21731	9606.ENSP00000393333
Q9UBK8	9606.ENSP00000264668
P00533	9606.ENSP00000275493
Q9P2J5	9606.ENSP00000377954
P35372	9606.ENSP00000394624
P51553	9606.ENSP00000217901
Q07912	9606.ENSP00000371341
P47901	9606.ENSP00000356094
O43741	9606.ENSP00000254101
P05546	9606.ENSP00000215727
P14324	9606.ENSP00000349078
P22033	9606.ENSP00000274813
P11473	9606.ENSP00000447173
P40926	9606.ENSP00000327070
Q09470	9606.ENSP00000371985
P12271	9606.ENSP00000268125
Q9UHI5	9606.ENSP00000320378
P32929	9606.ENSP00000359976
Q92731	9606.ENSP00000343925
Q99062	9606.ENSP00000362195
P04150	9606.ENSP00000231509
P14867	9606.ENSP00000393097
P28222	9606.ENSP00000358963
P09488	9606.ENSP00000311469
P21266	9606.ENSP00000256594
O15217	9606.ENSP00000360002
Q03013	9606.ENSP00000358851
P09211	9606.ENSP00000381607
P78417	9606.ENSP00000358727
P18283	9606.ENSP00000374265
O43708	9606.ENSP00000216465
Q13255	9606.ENSP00000354896
O94925	9606.ENSP00000317379
Q13002	9606.ENSP00000397026
Q16099	9606.ENSP00000435648
Q16478	9606.ENSP00000262895
P42262	9606.ENSP00000296526
P48058	9606.ENSP00000282499
P42263	9606.ENSP00000481554
Q13003	9606.ENSP00000362183
Q14833	9606.ENSP00000440556
Q14831	9606.ENSP00000350348
O00222	9606.ENSP00000344173
O43451	9606.ENSP00000447378
P12931	9606.ENSP00000362680
P06241	9606.ENSP00000346671
P07947	9606.ENSP00000462468
P29317	9606.ENSP00000351209
P06239	9606.ENSP00000337825
P30559	9606.ENSP00000324270
Q93088	9606.ENSP00000274353
P42081	9606.ENSP00000332049
P33681	9606.ENSP00000264246
Q01718	9606.ENSP00000333821
P43681	9606.ENSP00000359285
P17787	9606.ENSP00000357461
P16234	9606.ENSP00000257290
P07333	9606.ENSP00000286301
P27487	9606.ENSP00000353731
P01031	9606.ENSP00000223642
O60664	9606.ENSP00000221957
P43220	9606.ENSP00000362353
P08069	9606.ENSP00000268035
O60894	9606.ENSP00000254661
O60895	9606.ENSP00000253796
O60896	9606.ENSP00000242249
O95180	9606.ENSP00000334198
P14770	9606.ENSP00000303942
Q7Z4W1	9606.ENSP00000303356
Q02750	9606.ENSP00000302486
Q14289	9606.ENSP00000380638
P05771	9606.ENSP00000305355
P17812	9606.ENSP00000361704
P10253	9606.ENSP00000305692
Q9NSA0	9606.ENSP00000301891
P29972	9606.ENSP00000311165
Q9UKV0	9606.ENSP00000408617
P22102	9606.ENSP00000371253
P43004	9606.ENSP00000278379
Q99584	9606.ENSP00000357688
Q06520	9606.ENSP00000222002
P16410	9606.ENSP00000303939
P19440	9606.ENSP00000383232
Q00535	9606.ENSP00000419782
P51692	9606.ENSP00000293328
P26358	9606.ENSP00000352516
P10144	9606.ENSP00000216341
P00749	9606.ENSP00000361850
P10696	9606.ENSP00000295453
O43526	9606.ENSP00000352035
P49747	9606.ENSP00000222271
O95237	9606.ENSP00000337224
O75015	9606.ENSP00000433642
P20810	9606.ENSP00000379157
P30044	9606.ENSP00000265462
P35270	9606.ENSP00000234454
P01023	9606.ENSP00000323929
P51681	9606.ENSP00000292303
P05451	9606.ENSP00000233735
Q99519	9606.ENSP00000364782
P08581	9606.ENSP00000317272
P11217	9606.ENSP00000164139
P62993	9606.ENSP00000376345
P05231	9606.ENSP00000385675
P61073	9606.ENSP00000386884
P03956	9606.ENSP00000322788
P28482	9606.ENSP00000215832
P29274	9606.ENSP00000480012
P01574	9606.ENSP00000369581
P25116	9606.ENSP00000321326
P08174	9606.ENSP00000356030
P27169	9606.ENSP00000222381
P52961	9606.ENSP00000250693
P02760	9606.ENSP00000265132
P02778	9606.ENSP00000305651
O60494	9606.ENSP00000367064
P07858	9606.ENSP00000345672
P48067	9606.ENSP00000353791
P07339	9606.ENSP00000236671
P98164	9606.ENSP00000263816
P07225	9606.ENSP00000377783
P01579	9606.ENSP00000229135
P50406	9606.ENSP00000289753
P02775	9606.ENSP00000296028
P01189	9606.ENSP00000384092
P20333	9606.ENSP00000365435
P34913	9606.ENSP00000430269
P49888	9606.ENSP00000226444
P01009	9606.ENSP00000416066
P01133	9606.ENSP00000265171
P27986	9606.ENSP00000428056
O75469	9606.ENSP00000336528
P16220	9606.ENSP00000387699
P49327	9606.ENSP00000304592
Q04760	9606.ENSP00000362463
P52788	9606.ENSP00000385746
O95831	9606.ENSP00000287295
P45452	9606.ENSP00000260302
P10646	9606.ENSP00000233156
P05120	9606.ENSP00000401645
P17936	9606.ENSP00000370473
P11387	9606.ENSP00000354522
P08236	9606.ENSP00000302728
P17405	9606.ENSP00000340409
Q14416	9606.ENSP00000378492
P13501	9606.ENSP00000474412
P35568	9606.ENSP00000304895
P04062	9606.ENSP00000314508
P16860	9606.ENSP00000365651
P29074	9606.ENSP00000263708
P29460	9606.ENSP00000231228
Q9BYF1	9606.ENSP00000389326
O14732	9606.ENSP00000269159
P01137	9606.ENSP00000221930
P35222	9606.ENSP00000344456
P32418	9606.ENSP00000384763
P56817	9606.ENSP00000318585
O14965	9606.ENSP00000216911
Q99497	9606.ENSP00000418770
Q7L0J3	9606.ENSP00000358142
P02788	9606.ENSP00000231751
P21462	9606.ENSP00000471493
P20594	9606.ENSP00000341083
P41250	9606.ENSP00000373918
Q9Y275	9606.ENSP00000365048
Q16853	9606.ENSP00000312326
Q00987	9606.ENSP00000258149
P31930	9606.ENSP00000203407
Q03181	9606.ENSP00000310928
P47929	9606.ENSP00000367891
P99999	9606.ENSP00000307786
P08311	9606.ENSP00000216336
P27824	9606.ENSP00000247461
P13945	9606.ENSP00000343782
P09038	9606.ENSP00000264498
Q13464	9606.ENSP00000382697
Q16539	9606.ENSP00000229795
O60882	9606.ENSP00000260228
P03951	9606.ENSP00000384957
P08107	9606.ENSP00000364802
Q8NER1	9606.ENSP00000461007
P63316	9606.ENSP00000232975
P07359	9606.ENSP00000329380
P06850	9606.ENSP00000276571
P24385	9606.ENSP00000227507
P48549	9606.ENSP00000295101
P60568	9606.ENSP00000226730
P48051	9606.ENSP00000477437
P98160	9606.ENSP00000363827
P08183	9606.ENSP00000478255
P22830	9606.ENSP00000372326
P21980	9606.ENSP00000355330
P26951	9606.ENSP00000327890
P23946	9606.ENSP00000250378
P04629	9606.ENSP00000431418
P05412	9606.ENSP00000360266
P05107	9606.ENSP00000380948
P04275	9606.ENSP00000261405
P11168	9606.ENSP00000323568
P15502	9606.ENSP00000351807
P13500	9606.ENSP00000225831
P01584	9606.ENSP00000263341
P43005	9606.ENSP00000262352
P30793	9606.ENSP00000419045
P35557	9606.ENSP00000223366
P27361	9606.ENSP00000263025
P49841	9606.ENSP00000324806
Q4U2R8	9606.ENSP00000367102
P04004	9606.ENSP00000226218
Q92887	9606.ENSP00000359478
P61278	9606.ENSP00000287641
Q06124	9606.ENSP00000340944
P16581	9606.ENSP00000331736
P05164	9606.ENSP00000225275
P01112	9606.ENSP00000407586
P15144	9606.ENSP00000300060
P59768	9606.ENSP00000334448
P06493	9606.ENSP00000378699
P80188	9606.ENSP00000362108
P05362	9606.ENSP00000264832
P19838	9606.ENSP00000226574
P01374	9606.ENSP00000403495
P00750	9606.ENSP00000220809
P11413	9606.ENSP00000377192
P23297	9606.ENSP00000292169
P06870	9606.ENSP00000301420
O95573	9606.ENSP00000350012
P01138	9606.ENSP00000358525
P17302	9606.ENSP00000282561
P21589	9606.ENSP00000257770
A6NG28	9606.ENSP00000352157
P11021	9606.ENSP00000324173
P11137	9606.ENSP00000353508
P07949	9606.ENSP00000347942
P04156	9606.ENSP00000368752
P35247	9606.ENSP00000361366
P19367	9606.ENSP00000402103
P63000	9606.ENSP00000348461
P17213	9606.ENSP00000262865
P16070	9606.ENSP00000398632
P19320	9606.ENSP00000294728
P43003	9606.ENSP00000265113
P08254	9606.ENSP00000299855
Q16873	9606.ENSP00000292596
P02649	9606.ENSP00000252486
P07900	9606.ENSP00000335153
P14210	9606.ENSP00000222390
P16870	9606.ENSP00000386104
Q08345	9606.ENSP00000427552
P01100	9606.ENSP00000306245
Q13126	9606.ENSP00000369519
P02776	9606.ENSP00000296029
Q07837	9606.ENSP00000260649
Q14500	9606.ENSP00000463778
P17252	9606.ENSP00000408695
P27815	9606.ENSP00000370078
P19438	9606.ENSP00000162749
P00450	9606.ENSP00000264613
P53609	9606.ENSP00000404676
P22061	9606.ENSP00000356354
P16455	9606.ENSP00000302111
P48745	9606.ENSP00000259526
P16444	9606.ENSP00000376807
P49366	9606.ENSP00000210060
P48061	9606.ENSP00000379140
P07204	9606.ENSP00000366307
P29218	9606.ENSP00000408526
P07686	9606.ENSP00000261416
O14920	9606.ENSP00000430684
P05106	9606.ENSP00000452786
P98170	9606.ENSP00000360242
P32239	9606.ENSP00000335544
P16109	9606.ENSP00000263686
Q9UNN8	9606.ENSP00000216968
P42574	9606.ENSP00000311032
O60603	9606.ENSP00000260010
P14625	9606.ENSP00000299767
O60760	9606.ENSP00000295256
P45844	9606.ENSP00000354995
P78559	9606.ENSP00000300231
P07355	9606.ENSP00000346032
Q9NR96	9606.ENSP00000417517
P31751	9606.ENSP00000375892
P00167	9606.ENSP00000341625
P07602	9606.ENSP00000378394
P14410	9606.ENSP00000264382
P04271	9606.ENSP00000291700
P13726	9606.ENSP00000334145
P03950	9606.ENSP00000336762
P22894	9606.ENSP00000236826
P14735	9606.ENSP00000265986
P15559	9606.ENSP00000319788
Q08257	9606.ENSP00000399805
P28161	9606.ENSP00000241337
P61586	9606.ENSP00000400175
P25815	9606.ENSP00000296370
P41594	9606.ENSP00000306138
O15530	9606.ENSP00000344220
P13569	9606.ENSP00000003084
P39900	9606.ENSP00000458585
P06744	9606.ENSP00000405573
P08100	9606.ENSP00000296271
P22455	9606.ENSP00000292408
Q99808	9606.ENSP00000377424
P80511	9606.ENSP00000357726
P05113	9606.ENSP00000231454
P68400	9606.ENSP00000217244
P24941	9606.ENSP00000266970
P02743	9606.ENSP00000255040
Q96C86	9606.ENSP00000263579
Q13370	9606.ENSP00000282096
P31939	9606.ENSP00000236959
Q10588	9606.ENSP00000265016
Q9P2W7	9606.ENSP00000433847
O75874	9606.ENSP00000390265
P04183	9606.ENSP00000301634
P00568	9606.ENSP00000362271
O00204	9606.ENSP00000201586
Q08188	9606.ENSP00000370867
P68363	9606.ENSP00000336799
P11309	9606.ENSP00000362608
Q9H4M7	9606.ENSP00000263265
P08519	9606.ENSP00000321334
Q06187	9606.ENSP00000483570
Q08499	9606.ENSP00000345502
Q9NP99	9606.ENSP00000244709
Q9UN19	9606.ENSP00000423602
P10153	9606.ENSP00000303276
P43403	9606.ENSP00000264972
P48736	9606.ENSP00000352121
P43405	9606.ENSP00000364907
Q9BWD1	9606.ENSP00000356015
Q71U36	9606.ENSP00000301071
Q08881	9606.ENSP00000398655
P17931	9606.ENSP00000254301
P41240	9606.ENSP00000220003
Q9NY65	9606.ENSP00000333326
P68371	9606.ENSP00000341289
P49137	9606.ENSP00000356070
P36959	9606.ENSP00000259727
Q04759	9606.ENSP00000263125
Q9BQE3	9606.ENSP00000301072
P68366	9606.ENSP00000248437
P30405	9606.ENSP00000225174
P04350	9606.ENSP00000264071
Q13509	9606.ENSP00000320295
P08631	9606.ENSP00000444986
Q16222	9606.ENSP00000356903
P17900	9606.ENSP00000349687
P36873	9606.ENSP00000341779
P01024	9606.ENSP00000245907
P49773	9606.ENSP00000304229
Q9BZX2	9606.ENSP00000356853
P30419	9606.ENSP00000468424
Q9UBX1	9606.ENSP00000310832
Q00169	9606.ENSP00000316809
Q9NPB1	9606.ENSP00000373674
P09871	9606.ENSP00000385035
P50579	9606.ENSP00000325312
P49247	9606.ENSP00000283646
P46926	9606.ENSP00000423674
P35030	9606.ENSP00000354280
Q13426	9606.ENSP00000421491
Q92876	9606.ENSP00000366047
Q9Y678	9606.ENSP00000325002
P55055	9606.ENSP00000253727
Q9BY41	9606.ENSP00000362674
P23677	9606.ENSP00000260386
P06132	9606.ENSP00000246337
P51512	9606.ENSP00000286614
P14555	9606.ENSP00000383364
P25774	9606.ENSP00000357981
Q9Y286	9606.ENSP00000323328
O43570	9606.ENSP00000178638
Q9Y5Y6	9606.ENSP00000278742
P04745	9606.ENSP00000359100
P09960	9606.ENSP00000228740
P04075	9606.ENSP00000378669
P17050	9606.ENSP00000379680
P49789	9606.ENSP00000417480
P00751	9606.ENSP00000416561
P30305	9606.ENSP00000245960
P51151	9606.ENSP00000420127
P09874	9606.ENSP00000355759
P07477	9606.ENSP00000308720
P11310	9606.ENSP00000359871
Q8WVQ1	9606.ENSP00000307674
P53355	9606.ENSP00000386135
Q96RI1	9606.ENSP00000447149
Q9HAN9	9606.ENSP00000366410
Q15075	9606.ENSP00000317955
P49759	9606.ENSP00000394734
Q16775	9606.ENSP00000380514
P55210	9606.ENSP00000358327
P00746	9606.ENSP00000332139
P10114	9606.ENSP00000245304
P52732	9606.ENSP00000260731
P14174	9606.ENSP00000215754
P37173	9606.ENSP00000351905
O94766	9606.ENSP00000265471
P15289	9606.ENSP00000216124
P08238	9606.ENSP00000360609
P50613	9606.ENSP00000256443
Q92947	9606.ENSP00000222214
P13051	9606.ENSP00000242576
Q9BW91	9606.ENSP00000303575
P32119	9606.ENSP00000301522
Q16881	9606.ENSP00000434516
Q99250	9606.ENSP00000364586
Q9NY46	9606.ENSP00000283254
P35499	9606.ENSP00000396320
O00408	9606.ENSP00000334910
P62508	9606.ENSP00000355904
P21964	9606.ENSP00000354511
P11511	9606.ENSP00000379683
P02675	9606.ENSP00000306099
P02679	9606.ENSP00000336829
P00736	9606.ENSP00000438615
P02745	9606.ENSP00000363773
P02746	9606.ENSP00000313967
P02747	9606.ENSP00000363770
P08637	9606.ENSP00000356946
